"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X1",388.309766584974,204.651257579921,5.34235376691797,0.981330473964642,0.306306306306306,1.09013250923929
"X2",389.394875944021,206.314890456772,5.43615876060251,0.981231094813666,0.306306306306306,1.09625719869751
"X3",382.057574078069,203.032856931354,5.34021869952994,0.98187878700313,0.306306306306306,1.05520787400089
"X4",397.296664817582,217.288320119473,5.79514458785586,0.980520623054991,0.324324324324324,1.14152276141172
"X5",419.414431457494,229.308204183178,6.28540825375234,0.978306960902466,0.315315315315315,1.2697287607839
"X6",368.706663051026,205.964992805593,5.54381192111718,0.983439712155627,0.306306306306306,0.983201813139109
"X7",383.217533189463,206.143945479959,5.49354863265292,0.981714746158264,0.333333333333333,1.06121038878516
"X8",390.577829318531,209.281795104494,5.53848893969405,0.980930252679521,0.351351351351351,1.1026940452187
"X9",380.018750534658,212.391752183638,5.6428944521709,0.982036461362747,0.342342342342342,1.04379341029569
"X10",374.722049194552,209.58384514349,5.63582487418423,0.982466854588337,0.324324324324324,1.01476587517735
"X11",386.061667311408,216.110581512636,5.59686092391886,0.982057108077748,0.324324324324324,1.07732085669074
"X12",390.524449507854,209.60714133987,5.39187141667477,0.981170457101412,0.342342342342342,1.10254049364827
"X13",391.486590786331,222.069536223323,5.70884465702466,0.980850290808369,0.333333333333333,1.1074913654994
"X14",402.654311158586,229.948089775714,5.84050959158079,0.979671969539142,0.333333333333333,1.17202884709088
"X15",397.39747214965,227.403370972471,5.68901487368358,0.9805427179691,0.342342342342342,1.14142401664593
"X16",379.610930284388,203.63433664561,5.37734115563549,0.982121669915497,0.333333333333333,1.04170496853819
"X17",388.774559175677,209.990597468175,5.67074833653366,0.981521849617437,0.342342342342342,1.09267046979431
"X18",376.408499924025,211.334583405144,6.00807130985234,0.982414096651738,0.333333333333333,1.02409633311177
"X19",399.285823309236,227.159316094457,6.3697585170636,0.98039758621212,0.342342342342342,1.15250287288551
"X20",406.160856017204,231.53986224798,6.33223320746981,0.980524034192999,0.378378378378378,1.19176278914
"X21",402.65848377543,223.529799553302,6.09197471042014,0.97990208249881,0.36036036036036,1.17143207084857
"X22",382.085995472752,212.964858309679,6.01090986704068,0.981810995352773,0.351351351351351,1.05534295826674
"X23",396.41272818566,218.417079517807,5.97368740327457,0.980398209960114,0.36036036036036,1.13606943607566
"X24",383.830028087899,220.82862963266,6.00084347934217,0.981712991588641,0.378378378378378,1.06466555821973
"X25",406.656313990495,230.697275007056,6.19983341091565,0.979455559359962,0.351351351351351,1.19524162708507
"X26",431.378161029728,266.173495126536,6.81954458231796,0.97675432783233,0.396396396396396,1.34480769900145
"X27",394.863102526894,218.904042824555,5.79426066126741,0.980777359104717,0.36036036036036,1.12690350923952
"X28",407.678497987433,238.067319610069,6.4602182511198,0.979624619681577,0.369369369369369,1.20140525185197
"X29",417.507724960057,242.157516870606,6.52315920168843,0.978715648510356,0.387387387387387,1.25965353026486
"X30",413.073715089415,255.310083144819,6.94265721995165,0.979083109180498,0.378378378378378,1.23292254262462
"X31",526.00272838746,335.244452014408,9.55693991605074,0.966050904716178,0.468468468468468,1.99998557155639
"X32",410.670364543622,238.939416517608,6.30709065756726,0.979136857238062,0.369369369369369,1.21985903420317
"X33",419.229604037299,242.912310264637,6.30601519569558,0.978285063611455,0.369369369369369,1.27138963451722
"X34",404.138268908222,241.998860792843,6.1839650182381,0.980074209911979,0.396396396396396,1.18133360122381
"X35",420.145835115895,244.54112019937,6.48670314655867,0.978219313126266,0.405405405405405,1.27666136628775
"X36",465.681470302119,297.100833663927,7.08970011185156,0.975276201270713,0.396396396396396,1.56947211674811
