"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
5906.57142857143,5898.11910620486,5913.23107375246,5815.03413587156,5917.14627092341,6274.00491187686,5970.18616376604,5894.21803447178
6074.14285714286,5970.12794643926,5822.04917200188,5811.40151563345,5688.16274878219,6195.53316043672,5968.64198339553,5806.09473564511
5840.71428571429,6131.59362943825,6011.62095555516,6085.42978635401,5943.89088787135,6181.76407877604,6246.00887135097,5847.88254165649
5916.85714285714,5812.89277840524,5821.12654220768,5785.00769455953,5962.45799165637,6179.12267339797,5969.39559046427,5799.54499126616
5783.71428571429,5943.20880481915,5869.4126750869,5898.19699596654,5806.54290371234,6169.27453286307,5995.94742747715,5750.45299366542
5787.57142857143,5724.38824735616,5752.03510301493,5690.35008720417,5694.17832964979,6092.24698493594,5883.98678934006,5737.92228081113
5675,5737.7984400779,5741.94842213879,5769.89507447513,5889.14807295714,6062.61518859863,5879.01651128133,5659.94537280855
5574.57142857143,5594.33182916771,5633.7730303943,5552.60515281876,5584.00968965414,5998.31158610753,5760.87579109555,5621.84578868321
5539.14285714286,5504.17680985759,5516.44775564291,5424.41689997616,5361.30282481906,5929.3729220799,5632.86088598342,5522.58641215733
5825.42857142857,5477.48270819899,5472.88800524274,5497.6491792096,5581.5894811634,5851.21202305385,5608.61019697643,5463.4648034232
5700.71428571429,5837.44772447421,5794.35741887442,5864.57018213836,5708.17293046769,5880.76988692511,6017.18368820917,5531.56416593279
5656.57142857143,5710.76839561208,5738.41135352187,5705.49042893908,5904.70323067938,5941.40711121332,5895.68072110131,5578.99100276402
5570.85714285714,5739.19280384014,5666.37992883261,5623.2971343607,5595.35402798841,5974.17095565796,5743.86460277012,5530.76435107276
5534.14285714286,5593.34403556223,5555.47951013556,5519.58767350512,5540.28561240992,5901.6877339681,5640.71873092651,5514.52525293259
5667.14285714286,5484.55581891088,5497.58595226895,5480.13110387035,5585.85559174462,5841.01522373018,5615.5077600025,5446.21501486642
5422.14285714286,5604.36470564768,5640.89348079627,5660.10973447917,5731.44456020769,5837.54291825067,5811.53969374157,5468.62579363868
