"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X1",3847.72392074085,2409.39205367642,4.15831772526642,0.991613296522129,0.232,0.724072542320655
"X2",3828.61971984029,2398.05253868384,4.16591473004896,0.991731201690693,0.232,0.716817322064115
"X3",3899.23206164963,2515.42883082803,4.40483162742441,0.991546875657441,0.224,0.743528577211204
"X4",4144.94450379626,2806.46557353341,4.98629947151083,0.990604546399383,0.24,0.840003352627216
"X5",4154.67343428815,2695.78562106048,4.92854095177086,0.990414435252615,0.272,0.844098945855907
"X6",28823.188174647,19292.8725964841,19.0257996016351,0.88246529369375,0.288,40.1248230911388
"X7",18214.948185757,12488.149336525,12.9483321476092,0.971398137426082,0.256,15.9893802123032
"X8",18482.3273332812,12536.3856979285,14.4437535821817,0.905552493242233,0.256,16.6666817348686
"X9",17338.2683584778,11940.4131907744,13.1257133341968,0.943233472074612,0.304,14.6404116906155
"X10",13123.654870134,9322.016819477,10.70949249593,0.970947505033946,0.304,8.3540687738588
"X11",34124.9707574934,23134.1804739341,22.7247703374786,0.819645359958161,0.376,55.9872360969568
"X12",9921.059805273,5985.95019236701,8.09801222516638,0.944819618438179,0.28,4.80482800762183
"X13",13830.0366915083,9688.44150462469,11.9081882783748,0.941580221341064,0.312,9.22753841557994
"X14",14460.515870135,9977.54631643447,11.7183977030717,0.956667388076852,0.288,9.94731774319273
"X15",15604.1603792984,9949.37740794935,12.4429530580653,0.874230273783086,0.304,11.760997060976
"X16",3877.64006126861,2532.22055587182,4.31859174378873,0.991754552097175,0.224,0.735219142536082
"X17",3863.99965900794,2513.1397273152,4.30261949599227,0.991770871375101,0.216,0.729811894056591
"X18",3994.47558532286,2736.05282685297,4.7039778593831,0.991131629269515,0.216,0.778492189755886
"X19",3791.59234807413,2550.53538842151,4.44007309582249,0.992151693676778,0.208,0.702631642354325
"X20",3887.14314926595,2529.6723562503,4.51799893160995,0.991526052324561,0.216,0.739016892090537
"X21",26278.1642689782,19008.1877597876,20.2201226152261,0.920461475149911,0.24,33.3733173431194
"X22",18213.3417132621,12864.2586024102,14.1949603289572,0.948667253521562,0.264,16.1305222522272
"X23",15064.7265932888,10953.2060877616,12.6155182988493,0.961661879624093,0.32,10.7445748425023
"X24",22078.2711781113,15391.7567279995,16.2860337396872,0.936318355555949,0.344,23.5612934490376
"X25",20152.1688655636,14777.1912005804,16.821690907648,0.928034739298283,0.336,19.3740980191924
"X26",30333.6650996615,21473.4110969119,21.9603224260913,0.911769975637984,0.376,43.9785762074965
"X27",24356.6773210054,17466.7590962972,18.8508210030655,0.913710003506825,0.28,28.7940135647604
"X28",41496.9582946935,27982.9430734352,29.1178875699617,0.440023833125478,0.328,83.9268532881508
"X29",22180.3872663978,15760.3066586567,18.8554763555901,0.862990366753516,0.28,23.859528135683
"X30",13475.2860234362,8783.66854254679,12.2612120606052,0.909584524709851,0.32,8.76016010267541
"X31",4704.20906601491,3304.05727239374,5.99764040425518,0.987618076376353,0.272,1.082367978506
"X32",3794.12552848692,2595.06531119724,4.47928536611836,0.991820145264861,0.256,0.70393938585349
"X33",3909.57085762977,2590.21639040783,4.56068793556669,0.991397637418242,0.248,0.746459456023299
"X34",4035.07234111848,2691.09541114532,4.91996928385908,0.990708852554523,0.224,0.795801568524741
"X35",3997.12599345494,2641.6979677189,4.64569509103614,0.990960880511008,0.24,0.780364876622992
"X36",40083.0946235603,27642.3763379522,27.2036073487323,0.733444460840345,0.384,77.163029272162
