"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
76131.2857142857,76039.2280654944,75915.57171678,76294.1217206563,75607.6798281708,67562.4861124584,75920.9388208389,66582.0033545153
79526.1428571429,76680.194599033,79879.1975630364,79278.8975795938,79325.8153124627,72136.1231092044,79280.1977139711,70048.9685909237
83192,81181.4552414174,83071.5385496111,81963.0728669995,82511.3695195171,76020.0256189278,82270.3350266388,73896.171583363
86164.2857142857,85327.1982379035,86636.9909578876,85534.4487214341,86509.5419719168,79555.9187381608,86067.7478048631,77571.7810749156
88109.4285714286,88358.5231546651,89367.3321477924,87980.3954226692,88893.1075093848,82952.0480206183,88767.6399698428,80304.0060272387
96014.4285714286,90108.252125587,90862.4940559658,89639.5012911711,90120.9570186377,85691.6774280582,90098.3059903554,81686.5412051337
101403.857142857,99347.4808195857,99929.8538451616,101693.973805691,100210.636165397,89529.8526809897,102177.383480242,84867.7988958359
108221.571428571,105002.166000023,105697.452282918,106003.159741956,105977.283444722,95489.1575097186,106514.989230803,87976.9865567344
114889,112348.907870219,113065.01222576,113122.668752614,112690.512258181,101393.792778168,114590.914512021,93083.0133692707
120731.285714286,119335.690677949,120122.003766628,120353.948959276,120732.899588785,107748.467031462,121400.250788161,98187.141603572
124866.428571429,125190.102894775,126006.874096987,124331.479338071,125730.465099391,114047.436999338,127048.530530419,102911.649119769
124308.857142857,128911.914897701,129691.920303976,128364.165899209,129195.916531451,119402.595247882,130143.194067819,106387.831953509
131085.142857143,126916.481064017,127611.251260442,123727.75694943,126181.790286562,122453.021912404,126103.427777886,106626.824981741
134524.142857143,134526.258469718,134945.37818332,135597.678312904,134475.185090295,124988.68706005,139223.600135871,108520.818150384
137319.714285714,137707.562533783,138203.317595191,138075.703229999,138002.319915933,129536.541364363,140064.461450406,108382.725062455
138003.142857143,140169.541868052,140606.691911315,139354.312350663,138962.310503231,133100.210683175,142745.140003647,109368.770654627
137019.428571429,140105.584209768,140496.667045546,139463.405321228,139912.645841723,135349.40885382,141778.991511379,110018.44514089
135889.714285714,138203.46157445,138523.019618625,135218.508909053,136998.278165851,136026.2804733,139721.17002683,109793.577534727
135454.428571429,136414.512813889,136633.5563852,135426.064893747,135162.000057427,135440.084950328,138618.864996433,108781.331562911
133405,135703.176626158,135827.369838739,135254.116447134,134504.044455585,134679.647409831,138766.973084552,106282.119117379
132394.428571429,133068.253879006,133206.810457914,132342.238566596,131651.545013842,133699.164651888,135284.382549269,103927.065717237
130945,131916.632996817,131977.346080565,131800.749233527,130634.327032689,132265.72859151,135146.631205423,102422.841167365
131108.571428571,130263.234505776,130320.530290289,130137.856675652,129368.114002984,131016.00845405,133173.590731961,101164.881200365
132431.571428571,130686.281634725,130669.053643563,131144.139028832,129800.300345719,130130.245764256,134622.519190737,100885.685778005
133201.285714286,132471.36167224,132420.135433611,133925.343550507,132220.520640678,130323.312184981,136781.08872933,101258.614007831
134464.142857143,133418.15657967,133403.853803186,133906.928190815,133042.869630874,131178.460300735,137066.122279763,102026.911662221
131032.571428571,134922.824999536,134904.00558904,135595.049529446,134711.789814862,132092.103611912,138797.578165701,103647.24376406
128797.857142857,130497.343830404,130649.758423244,128586.58061518,129693.280573185,131884.085887585,131449.112121037,103348.806251287
125763.285714286,127883.40817596,127959.871246862,126581.305316241,126603.558398612,129734.525102718,130429.718002166,102751.636946116
122493.857142857,124394.196004218,124492.084684439,123800.424143509,123503.400341838,127296.503833703,126533.446255241,100201.238831367
118192.857142857,120758.319532373,120863.783758661,119866.358584133,119057.640789053,124448.978225163,122988.345031568,97037.3626244068
115192.285714286,115954.188502144,116117.126179685,115686.428706161,114488.727742372,121008.820913434,117658.637224266,93598.4014169659
114380.571428571,112932.98148347,113040.669773295,112692.849910405,111593.610678356,117394.58296333,115482.781130842,90774.4086856501
92593.5714285714,112647.201442945,112649.416349708,113993.286387731,111958.144660608,114899.281588963,116123.646214093,89490.580590197
93937,86043.0066523101,87747.3786713411,77010.8526382335,82019.3662461919,107612.633251633,78676.0985982418,80275.6412684066
87189.2857142857,89823.2467769625,90216.2362197766,92406.9801338509,89611.2520609683,96745.7315146071,96255.0534626416,77987.3798505749
81941.8571428571,82733.2407058759,83461.9002965636,84384.4675534586,83450.5303694443,92323.4776534353,83866.7260569334,69312.0449418681
77556.5714285714,77623.6202096567,78260.2032746146,76278.643643701,80718.2639738046,87038.6902071748,79277.2074532509,64872.9411988599
73600,73544.5190842796,74094.234873768,77643.614123592,74003.5962947991,81775.6130030325,74916.809270978,61358.8105326465
72767.7142857143,69901.4745772391,70386.8434027982,67374.5338003588,68942.7165691482,77543.0271075453,71268.1216187988,59352.7490372317
81216.8571428571,70052.6295312456,70292.908175342,73052.2125414791,69844.1709291085,74424.3465554714,72234.9725850139,61163.5560005052
68645.4285714286,81458.6254865491,81349.5272699455,87340.2223883599,83124.4592084264,75667.9437781232,86662.8191810846,63556.3294037325
64061.5714285714,65708.4271126448,66646.0463130655,60451.5728251066,64612.6566989241,75996.8914431334,61838.2632407972,61258.3804904563
59042.4285714286,60937.8281928789,61480.1568196138,58226.1396888604,58611.3450951493,69432.4148019722,61039.042493403,61804.1410434672
54601.1428571429,55684.5900349272,56235.7897780323,55657.4359251876,56659.2016818033,64096.8403879234,55411.9129126838,56664.2958061184
51425.7142857143,51226.9928971349,51750.9352800038,49199.2060968484,51780.4652033846,59495.3417555775,51735.4775395989,50755.5880873544
50676.1428571429,48352.7514567571,48780.1441036379,51767.4386080558,47589.9362094438,55267.4168696574,49115.6626581294,44811.600038537
46601.4285714286,48405.9618570593,48630.4299618741,48895.008204166,48122.6624537771,52607.3378902674,49718.6463591456,41100.4064444133
