"Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP","DESTC","DESTCRI","cSA","cSM","cSVR","cELM","cMLP","DSLA","DESLA_m","DESLA_a","Oracle"
124866.428571429,125213.066101172,125443.159730788,125392.514063978,125755.665080724,125509.853352218,88659.8911960662,100086.297412836,114592.242661409,112142.038422067,111456.474323362,74884.9800901418,129763.306647678,106737.939057687,151732.893329144,144406.736814091,125591.190048295,125938.61648109,122644.776641517,126017.562058228,124668.343867363,92707.8508454296,109275.387309796,94605.2404511475,98002.3372576897,89375.6767003545,73467.3023465858,100949.853376826,97208.7663924891,102000.584841186,107198.332797162,124925.371124029,125480.759080673,126569.034860245,126056.868341844,126533.8377611,64399.6608764565,73172.383563956,101134.488970401,85700.2219388826,73613.4302589843,59523.3848558888,77477.7780652032,86267.3863501105,50978.9705814703,43867.2465925755,125190.102894775,126006.874096987,124331.479338071,125730.465099391,114047.436999338,127048.530530419,102911.649119769,126270.355929043,126270.355929043,106219.277939175,111456.474323362,175492.323370398,123206.617142642,356839.552472159,124668.343867363,124796.857495696,111866.084470578,124925.371124029
124308.857142857,128996.858090764,129245.277047572,129763.964141071,129060.242037526,128538.563206747,86900.8916553512,101510.995210377,116268.575728556,113032.321708343,113339.784835326,73355.2791695414,129002.925797021,109154.65252391,152799.141484185,144731.42475091,129985.812891135,130277.879356852,131490.268485401,129912.686112655,128191.750055822,93566.9893848769,112305.058136935,97082.6286507494,96719.5301252077,88405.5210488346,82814.4772761578,93704.8774533614,97523.9369848075,103736.485517671,104434.098258458,133016.669738197,130604.285798898,130970.345461385,129347.577592529,131577.669154335,65795.349208931,72603.9505836798,108094.674840623,87490.552898558,88517.9502298959,59634.1653750075,82395.5493797014,85867.9083727142,56658.4396278291,34357.6593774421,128911.914897701,129691.920303976,128364.165899209,129195.916531451,119402.595247882,130143.194067819,106387.831953509,129917.557185898,129917.557185898,108742.869128954,113032.321708343,181966.120048789,123721.776943635,361094.974591779,128191.750055822,128451.364552978,115572.127512491,123721.776943635
131085.142857143,126959.349837779,127202.909108851,128079.175613627,126338.483898663,126857.748213532,81105.1668238931,99750.4173069689,111337.526343582,105925.487468026,108762.461335498,69348.5191358716,123102.488458587,110971.611752242,146422.183254967,134080.491975509,127785.608400727,128235.077146469,127042.083242526,127740.317711186,128949.675268186,91267.3963515105,109901.704065497,97631.9834963244,91976.3397548127,94903.5364478748,81203.6960770415,95079.8120290676,88871.9186622009,106316.497793851,106049.234925206,129263.542800988,127769.993964118,127086.188386622,125985.849341983,128734.460370509,64642.8155180419,71044.6584430278,100548.326975581,95219.9476985321,83758.5657905024,57942.5813608132,84164.7695690383,88089.2912588788,64318.5484102717,40739.9366867385,126916.481064017,127611.251260442,123727.75694943,126181.790286562,122453.021912404,126103.427777886,106626.824981741,128172.855815476,128172.855815476,106885.678095499,109901.704065497,176418.112114721,127143.128151947,349055.282227404,128949.675268186,125033.120424047,112596.724904868,129263.542800988
134524.142857143,133927.217462142,134032.589596533,133763.316742413,134360.807653485,134757.83917706,80598.8464699123,99691.6891090347,120796.905811993,113391.234820928,116447.009306993,74889.2671555554,132591.228693015,115064.055423114,162857.736273913,138473.7103224,134976.655646297,134972.073431998,135652.189448948,134758.298956172,133343.824792765,93983.5582999096,114885.718014864,115917.613787444,95440.2726737886,97898.7550090858,85412.9971396053,95652.6057707639,88859.880851543,111834.170711306,120538.309562204,133953.307967242,136289.480170355,135694.337541564,135394.924537959,137648.233093887,61385.6383416475,71650.9806470358,98959.7830418087,103685.744312527,92864.8617930963,54746.0279509427,94790.2010885501,93219.4266621562,68724.5580848035,34193.8271419716,134526.258469718,134945.37818332,135597.678312904,134475.185090295,124988.68706005,139223.600135871,108520.818150384,135271.528248112,135271.528248112,112771.021537865,116447.009306993,182976.908135402,114941.966362876,354676.296541867,133343.824792765,133648.566380003,117934.736019592,134526.258469718
137319.714285714,136809.974161331,136770.62275549,137784.088240675,137200.030499187,137526.645904868,81194.2556380728,100673.238320707,124196.066771451,112902.682599523,119592.011351653,70482.2238060003,142366.226009694,121804.231133753,170090.976437032,149528.377399459,137734.465483684,138242.571661938,137667.284914578,137059.792223363,137444.680394281,92864.9481591106,112088.589733392,111093.38402089,100443.527048215,105613.515908868,82224.6602552336,97111.8068246671,97025.8215638646,105492.115801668,126556.117593171,135890.399331341,137041.716988629,137459.038266924,136412.889249521,137788.38253996,60602.3596495718,72177.882066651,105773.575090843,109452.751491735,95114.3780669171,53758.8269152364,95506.828945224,79965.4049882676,103939.714893757,18470.8825520222,137707.562533783,138203.317595191,138075.703229999,138002.319915933,129536.541364363,140064.461450406,108382.725062455,138139.510412595,138139.510412595,115100.051385161,121804.231133753,183594.712357319,102338.59549432,352642.814163031,137444.680394281,135890.399331341,120476.397013176,137200.030499187
138003.142857143,139769.859975352,139937.393866774,140414.097512977,140730.577488088,139230.774022587,80148.2079891185,100943.044511498,123129.785702884,109915.783768552,112622.848456601,64862.1859178456,138734.084377785,113346.607377373,165959.51892053,136935.86279944,140604.377600798,140753.306750374,140115.413949956,140609.135786541,140286.754648291,94614.965258978,110925.059849413,112022.792278475,96092.044189982,102235.075355817,73423.0007950361,94003.6291920012,79440.8093816261,104792.854199776,124894.137926455,141434.262055212,140088.084916357,139618.299246474,139545.020122392,141155.821041029,56126.3465972718,63121.7487146222,104769.671495639,103705.36949359,81559.2740568021,49162.4240133143,91773.3873833751,86634.5215452623,98628.0116784818,38973.8162841342,140169.541868052,140606.691911315,139354.312350663,138962.310503231,133100.210683175,142745.140003647,109368.770654627,140446.723279803,140446.723279803,114163.277774397,113346.607377373,193152.101717758,103769.407691622,346440.112084472,140286.754648291,139292.543186625,120603.410170374,138734.084377785
137019.428571429,140168.346626904,140308.148609523,140820.725180643,139700.761422263,140618.99136394,79506.584034009,102492.747827948,119892.671615236,111897.331005685,117510.651615538,67629.0008091848,127820.296951457,117055.123616983,159029.635408798,136834.111912046,140291.083962021,140672.904919406,140830.917163992,140425.671142767,141131.470966294,91465.2112851933,109351.346684811,110874.352276404,86970.2312477008,103554.551097157,88706.8069305838,94014.8183247994,67302.2781050459,95966.6474740959,126573.86371539,137598.253169468,139816.821034563,139289.965984752,139059.922687016,139235.334572305,57694.4800948239,63430.5455695223,102231.128858379,105884.435901016,85433.0519231264,51904.9456283855,81895.1838778829,86537.9025210219,100348.824480435,27530.8333644594,140105.584209768,140496.667045546,139463.405321228,139912.645841723,135349.40885382,141778.991511379,110018.44514089,139349.369946766,139349.369946766,113416.97478942,117510.651615538,190841.488598943,92493.4439886863,341356.57530916,141131.470966294,137598.253169468,118316.386507382,136834.111912046
135889.714285714,137875.621670159,137958.583207572,138050.851070586,137610.227008196,136867.991691026,75801.2109451659,99607.1405656799,112355.873619831,104943.851951852,111968.654784759,64692.788527791,124484.690929469,115444.685794782,153149.580991918,123558.854138934,138032.442046639,138049.933618098,137679.954682115,138031.774677536,138361.366387275,90375.6424284786,106459.783132598,113923.950409981,91949.1264348286,110053.978637388,77484.6505994226,98447.4466867995,61620.0932156961,104472.085725721,133606.160756962,136160.520869558,137654.943225875,137433.246824007,136767.888415345,135298.890079558,55682.4458578648,63935.4032041149,99675.1381250965,106819.214945984,92041.1445814676,50273.2431024727,79189.9059386325,105922.867105787,116766.656376877,46478.4777142665,138203.46157445,138523.019618625,135218.508909053,136998.278165851,136026.2804733,139721.17002683,109793.577534727,135729.705474558,135729.705474558,112737.797202683,115444.685794782,192181.309324363,88898.837314249,324550.449271015,138361.366387275,135298.890079558,115686.261774376,136026.2804733
135454.428571429,135883.86616688,135881.529460782,135605.659608921,135441.371769307,135368.172532658,73777.9093957089,97455.176316376,105548.053455237,101791.804124968,110289.408031539,64784.1871260226,120308.443385079,114505.237916959,148837.656496282,116042.22424008,136842.107371623,136904.868760785,136533.37029889,136111.724693974,136247.427399883,88175.3783575225,105447.997244417,116451.537348764,94910.0130051307,111636.467411938,83401.8278187971,90324.7991181249,62063.5826865178,103330.306066731,136434.024430789,140130.96539283,137403.763029606,137387.158988062,134971.93803371,135415.47770459,56380.3532178853,70054.883822216,104883.926445232,104536.132334923,112247.928814513,51226.1655551652,73049.0621193218,104696.241039362,131282.39736949,47980.1390341891,136414.512813889,136633.5563852,135426.064893747,135162.000057427,135440.084950328,138618.864996433,108781.331562911,135836.746146815,135836.746146815,112521.082635977,116042.22424008,193543.938741583,96358.2785410672,315723.44177345,136247.427399883,135415.47770459,115646.183450878,135441.371769307
133405,134938.561430919,134851.317201688,134511.106209264,134659.302292346,134933.20250829,72863.8926403718,95692.4776189301,102212.163682714,99979.1742833394,109261.337916507,64343.6636309387,122176.232792573,114192.070213552,148560.683605665,113865.515865256,135453.350528718,135359.601368244,135334.173836496,134923.765511492,133985.71533585,85240.0361549848,99053.4561738591,117288.167716393,93711.1776204597,110629.25538741,77648.7972206853,88993.7025315131,54804.2475987471,103295.093234596,142892.00030526,133887.009676423,133620.934462343,134295.946608537,134428.586860068,133270.524306169,52948.6689064228,71762.956407937,100693.727363104,102740.721126535,110515.248157782,46308.9689203863,66061.0829833166,104695.70222402,136006.413120059,58589.6170096239,135703.176626158,135827.369838739,135254.116447134,134504.044455585,134679.647409831,138766.973084552,106282.119117379,133887.009676423,133887.009676423,111207.024237221,114192.070213552,189628.243697025,89594.7085481167,299254.268325597,133985.71533585,133578.766991296,112929.400958122,133270.524306169
