"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X1",2960.64702880897,1695.52481574559,2.90886909389874,0.985458436442816,0.230769230769231,0.915565410072576
"X2",2961.7074110515,1717.73008027497,2.95082383743767,0.985444440206552,0.230769230769231,0.910610578671528
"X3",3077.70145306242,1800.70333635941,3.11204971086165,0.984336710885669,0.238461538461539,0.995694594775204
"X4",3223.52702176318,1852.42959622796,3.17078920656287,0.982774740034505,0.223076923076923,1.0096538815296
"X5",3201.07667681324,1781.31610567464,3.17809129691039,0.983260718085056,0.215384615384615,1.07685170830721
"X6",39778.0810787055,31353.6691957055,41.0228804685999,3.95759707680536e-05,0.453846153846154,174.502804061543
"X7",22482.5460236388,16889.5224854528,21.4926736446133,0.872984119611497,0.323076923076923,56.0566347168535
"X8",19499.3303227331,14936.3611213192,19.3138644012079,0.930856309037932,0.338461538461538,41.4655234989989
"X9",21176.2407884734,16204.4945106341,20.9307270786672,0.90654906443961,0.338461538461538,49.3885244184032
"X10",20008.6165450755,15249.3849722365,19.6854139422822,0.911802470020643,0.323076923076923,43.5854756240439
"X11",53315.0541895635,43026.9162197403,57.5308345227394,0.478569812396836,0.561538461538462,312.730070887224
"X12",38601.7683912795,30567.199874797,40.1492579559227,0.0522417627709091,0.430769230769231,164.197665913115
"X13",38224.0108625467,30063.7257843114,39.1436899256871,0.0411394032861262,0.423076923076923,159.601693352684
"X14",41442.711526243,32657.4675929877,42.5967574441582,0.0972159648410058,0.469230769230769,189.023361296563
"X15",40025.8245069267,31442.7271097645,40.9699288237306,0.0158392965568953,0.415384615384615,175.457073689773
"X16",2904.96699690593,1772.80640742115,3.09472972855203,0.986077963295659,0.269230769230769,0.917838211525012
"X17",2943.1163146432,1784.12303530747,3.11965609267524,0.98556537561816,0.246153846153846,0.925204114570747
"X18",3927.59011542855,2184.95659027068,3.57282898643582,0.975566570952335,0.238461538461539,1.67411427003347
"X19",3099.11735536632,1817.3468031916,3.15369692639466,0.984449566937185,0.261538461538461,1.04278665506696
"X20",3034.05014403521,1795.48073758032,3.15992372915098,0.984607406554704,0.230769230769231,0.989338072385581
"X21",21801.1053524736,17630.118610413,23.9825530533246,0.892548550945078,0.376923076923077,51.8163707139931
"X22",25685.0342399199,20363.0476914982,27.3362441976714,0.709014905008836,0.369230769230769,71.0542229183493
"X23",24347.6740421142,19119.0571382746,25.2275694118758,0.833233563516905,0.4,64.3720296930515
"X24",26842.2972169641,21559.8131890348,28.8059210966559,0.852577190936397,0.369230769230769,78.2792007636036
"X25",24968.6830574163,19569.7813982745,25.6907551938611,0.868590329454259,0.4,67.9761683939333
"X26",25194.5594675304,20691.7065971998,29.3690902320486,0.712041436278338,0.438461538461538,65.5046184814895
"X27",40288.0394501957,31825.729829088,42.127514732835,0.00596783776174493,0.446153846153846,176.893512372627
"X28",42812.0920512117,34028.8653972602,45.4579512981266,0.0144668389824388,0.484615384615385,200.349697804598
"X29",43705.9194692647,35331.281946001,48.3304269460488,0.00150964972415467,0.484615384615385,207.806918057036
