"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
134539.428571429,134396.291903687,134288.776932226,134895.475732316,134577.413919066,140460.093279929,115523.913523719,75146.1270702964
130237.428571429,132601.580827274,130100.767292163,130576.413852996,130396.47746565,137759.87882605,113753.364772592,74724.0353490001
127794.428571429,126982.511159128,126795.277953774,126628.14765406,126450.047796902,134275.974490665,111898.809713999,73902.4216830106
116082.571428571,125185.361706295,125819.576062905,126357.149574193,125998.964670858,131112.259642703,110358.448085013,73239.2064401025
112617,105101.507899858,106934.979513584,103153.281505786,103163.517172911,123761.471997011,106023.667271557,70443.3010532686
111408.571428571,114361.059347929,109626.386671303,113733.348098283,113449.46373553,119029.454915603,103207.160045045,69213.4685963336
96601.8571428572,106222.78853939,110458.02537631,106928.015418151,106867.161993221,114290.304062843,100933.424171856,69009.2387672209
93165.4285714286,83177.5384540205,85075.7405332409,82509.1884705303,84463.6066583679,105806.98921643,94943.7416506041,64133.9210288241
96148.8571428571,97617.2779587057,90105.754559643,93303.3840648542,95652.6173228785,100609.5448027,91022.9040696167,63129.6377176841
96888,92737.4620506803,98482.2531570057,96117.6380019547,97981.8639487891,97024.5274581455,89531.7408637433,64443.8403454224
105279.142857143,99153.503486313,97572.5974045808,98900.3844120771,99365.5586323591,96663.0625436647,88304.8039390019,65082.5178748029
105664.428571429,113916.875740618,111808.652177542,110585.336602516,110872.652720297,101039.231530564,89877.8620200157,69547.561763122
104647.142857143,99459.8925463141,106181.218766891,101794.364759082,101554.531161835,102929.834683759,91072.6252259754,70369.5444172848
116391.142857143,110498.053400953,103807.232826627,107776.302848645,107815.346157192,105023.904065541,92053.590534494,69855.8001335973
113647.857142857,124990.576941593,125497.219868264,127349.384725889,127400.480540056,110654.499596096,96378.8289037999,72785.6277280138
104502,104819.277943604,111833.377057067,107094.303628939,106858.080129722,111562.159254176,97339.8073529289,72013.6019726538
95755,103406.551192889,97230.3204338125,99507.5925195428,100426.629204803,110067.849399158,95471.5587332362,69398.9210272914
89855,85935.9116370777,88718.5384556084,86057.9418101445,89430.1655761787,103611.161096176,92421.0310074488,66104.3691228628
86925.7142857143,87284.6790453788,85095.9402581773,89747.1492899806,88652.4338415081,96952.2980232125,89246.6052527882,61589.721949407
85323.1428571429,84888.3858621245,84553.4145654269,83316.5376050373,85820.3955456302,91730.6438854422,85598.5626782917,60088.8881784905
80766.8571428571,81496.8532259791,84042.033824241,82105.5515375067,85376.5256074919,88284.345594724,82456.4028894561,60437.5615029619
76079.8571428571,79204.63086421,77200.6661903861,74977.2415771998,76387.9302478737,84597.9282501993,79104.6373188155,59423.1361418906
72387.1428571429,69848.1784511393,72322.9597101838,72379.6317958444,72252.1712321684,80823.9889608906,75943.8180030471,57507.8774039461
70328,72158.6628679801,69420.7157569028,69123.3554805929,68809.9358601166,76780.5038109507,73046.9533521164,55527.3436331692
68745.5714285714,66728.4223784344,68661.5333547841,69225.5818928674,69457.9933661605,73653.3392914931,70570.1714868716,54227.126682168
67735,68207.0639004604,67486.5854017137,66436.9857962854,66559.9131645586,71234.4270714351,68291.7976373377,53840.7499411503
67368.5714285714,66984.2622766293,66921.9427437622,66493.9086323573,66198.9942440429,69651.2833136831,66563.2264157647,53839.6737256447
67064.7142857143,66142.4823397538,67068.1006791092,66662.173039683,66397.0669010639,68676.6215531258,65466.8293070169,54113.2425823325
65385.7142857143,68065.2749006581,66826.0286583769,66668.2220068545,66414.0371223411,68079.2245756388,64780.7572967041,54222.1197176491
63604.8571428571,62066.0566252279,64073.8727619672,63500.3693224302,63386.775028513,67053.6321974879,63843.4402141912,53452.3642645223
61416.5714285714,64050.6051557496,62176.4418234625,62316.9423385953,62214.385113747,65771.5059166522,62788.1647874287,52355.5827930939
59934.4285714286,58305.946721026,59677.9608781633,59373.9880782157,59224.1732211265,63910.3346951178,61449.4090716555,50872.2452113969
58961.2857142857,59537.5193931929,58735.7640981964,59158.8907801601,58931.681727759,62256.5450766768,60105.1800313109,49713.1047386726
58440.2857142857,58278.3588229041,58180.3405089013,57725.7850142479,57539.2257015648,60809.6604516052,58828.0863391729,49201.7793774548
55696.2857142857,57110.2257203678,58020.0047872446,57963.5544064683,57724.0570185705,59861.7708329587,57824.8638690313,49046.2867362386
51872.4285714286,54075.5891461824,53554.2485382715,52411.6313014194,52318.9100840654,58091.3040792034,56252.9691257306,47520.0747787328
48492.4285714286,47825.383658307,48827.488865638,48907.2015706622,48811.9198392771,55557.339296761,54128.4172209615,44717.1996152912
45534,47215.6234927398,45779.4400650647,45713.978001985,45529.751974472,52424.2504671869,51728.6001388743,41899.7904176882
43113,41979.6925508802,43169.3608308509,43310.9439400945,43628.6451648683,49244.4026363123,49136.8887073029,39233.4870019073
42214.7142857143,41903.7503451437,41175.0508696237,40826.699450641,41989.7199243602,46427.9364084857,46466.3470523641,37401.6657146613
