"Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP","DESTC","DESTCRI","cSA","cSM","cSVR","cELM","cMLP","DSLA","DESLA_m","DESLA_a","Oracle"
105279.142857143,95853.6515302539,95512.0571286331,95860.4100220585,91389.1076785008,95466.8301019161,32083.014260221,68524.8241176311,62521.9703539742,65333.9069256857,60435.6417848042,2827.42443240232,33140.3963234008,23301.4957334723,26114.8270036407,22554.0394150001,98689.3272885238,97271.1165225417,96134.3448683114,98099.3321597954,97461.2842137406,57276.1542484387,40439.2166757268,48967.8019092007,43576.8690007593,50392.9867647864,19507.792613573,16171.9878463145,14310.5992323119,6401.49238191205,0,112329.523157111,99280.0682512494,99498.5715893921,99160.6222880126,98105.0991647581,34111.660957027,45665.4657982701,42559.0713816943,36493.4868755814,64974.3153354114,17995.1106699052,0,1958.01209046384,4009.33359669795,25765.2843800288,99153.503486313,97572.5974045808,98900.3844120771,99365.5586323591,96663.0625436647,88304.8039390019,65082.5178748029,98489.1929628686,98620.1747539803,58563.0255850133,60435.6417848042,106008.793837527,134669.887004818,168115.736786761,0,88304.8039390019,68367.3770989525,106008.793837527
105664.428571429,114577.768943493,114577.539530553,114509.011532906,115261.079249124,106230.273859444,32894.5049123842,67077.6123363449,75250.3087881889,72352.4713815924,75277.4268622491,14386.6066549541,42366.7120141193,35489.2173792488,29949.2877581339,26275.2885891461,112828.00782697,112246.925982045,112125.122784779,109176.69842299,107582.9690208,66789.9796478765,54856.9775838561,59829.3447849755,45867.2501751821,59010.0418606392,68287.5274535001,18741.7655221394,13271.7715604895,0,0,110865.438271755,112043.317102234,111955.182442206,109291.479011146,105705.140735783,36284.1690860574,57525.1904070482,52801.6356499267,57204.9666044855,68511.5048250189,7509.41398491971,0,1463.72669105803,0,100.817766399049,113916.875740618,111808.652177542,110585.336602516,110872.652720297,101039.231530564,89877.8620200157,69547.561763122,109068.328499067,109068.328499067,66694.5466393597,68287.5274535001,106392.694450207,157871.789434833,172693.901282272,0,89877.8620200157,73941.8328256327,105705.140735783
104647.142857143,102029.229470327,102008.286097027,102196.120834367,102443.962005079,103039.31583794,26996.5227635866,54289.9783072878,64539.6791097158,60460.9815704468,61195.1775705504,10355.1137265797,34281.004522948,34233.0596997917,21382.9044746912,23584.7496922136,101710.203338551,101109.252547183,99677.5982530089,119099.898607296,102076.231403149,60970.0945456192,57767.0591888163,48887.4045466925,46211.2110574097,51050.0273648513,47675.0576437903,15347.9785865212,0,0,0,88967.9649027093,100036.520170051,99523.8725559805,93590.0975247883,96196.897466248,35822.9546980575,51099.2561228754,41378.9375675164,67504.2939211635,73936.6293439332,10371.9994939058,0,0,0,0,99459.8925463141,106181.218766891,101794.364759082,101554.531161835,102929.834683759,91072.6252259754,70369.5444172848,99244.3404719037,99244.3404719037,60478.0452671271,60970.0945456192,104939.597144883,135428.280492391,175755.045506441,0,88967.9649027093,66126.7786699127,104939.597144883
116391.142857143,106347.97416952,106434.71590486,106442.420565053,106213.134714739,104835.602735921,28775.4498062884,55897.2247898986,66666.3005940961,60799.8103791737,62946.6415867987,7308.38375134928,33668.5889354575,35215.1127376281,24461.3910814723,28194.3002578547,107787.566766701,107478.590208312,107692.192440945,107565.115877316,108193.274937912,66526.5658956214,64589.6600466936,61015.6863583409,58599.8266968797,59994.008123328,48463.245231568,29454.5104086273,30891.6923980223,22568.0452809316,26279.4603044705,121472.524786774,112010.410732921,110780.963105425,110666.880116782,117988.722270191,34701.0087134448,48368.7349876526,58988.8401196637,67613.0924156869,67180.6166496609,14469.976284387,0,20000.1910480661,5272.4925519217,16181.3987318368,110498.053400953,103807.232826627,107776.302848645,107815.346157192,105023.904065541,92053.590534494,69855.8001335973,112226.683536352,112226.683536352,67401.658848975,64589.6600466936,109388.73971113,121517.293191926,178567.502910546,0,92053.590534494,78734.3095517505,117988.722270191
113647.857142857,128242.519703687,127770.406088238,128202.160667546,128272.880196218,110195.683339755,32429.3246368806,62813.8066757775,78473.6347347269,71561.4717611978,80907.1918810766,24004.8207288724,36683.5726425186,34368.00939033,27625.6133919891,33640.9523929285,127362.480722756,123777.599146399,127562.316140903,127405.244236282,126348.710089284,74611.1772302796,78874.4152478149,75708.7888376847,57978.1049655842,66874.8058475085,91961.5511443422,42760.0714099993,32416.5212356202,25750.2338967612,44044.89241298,117272.405792346,124654.307464565,120500.065128205,124115.036937076,120183.895360335,42053.6434416028,48431.3856518906,64753.0596230877,51628.0784262168,81808.7161531629,11728.5617310686,1466.07591110001,12176.4383914829,7380.84424773838,26514.623284884,124990.576941593,125497.219868264,127349.384725889,127400.480540056,110654.499596096,96378.8289037999,72785.6277280138,123841.060797071,123841.060797071,77257.0626851123,75708.7888376847,107196.919766666,171156.320193193,181512.891029707,1466.07591110001,96378.8289037999,83409.6197639913,110654.499596096
104502,104785.088612926,104699.808974297,105055.557014489,103834.064590537,104918.786107301,23242.7951330491,53964.3621694604,62134.140643685,59282.9073808984,58052.0763040623,2380.62821298898,31467.5240955816,31537.1860434442,18515.7131967386,18715.7334583815,105287.177487915,105550.329973942,101872.882569508,105245.249972585,104608.864197556,68892.0875924844,64374.0377775566,54283.165129696,50554.5252970142,55029.538388862,48124.9241009165,32019.3705927818,31956.924561451,11655.6852783467,41133.4326872722,108334.384629884,103951.334074619,104067.958017062,102648.416277474,104040.809994358,42846.8451891585,27503.7435424773,45826.7442499252,39938.4998757008,48326.678314232,26190.9008824475,14969.8236292816,13322.5491681025,31626.341218803,25313.2525394764,104819.277943604,111833.377057067,107094.303628939,106858.080129722,111562.159254176,97339.8073529289,72013.6019726538,104489.650711839,104489.650711839,64878.7915269587,58052.0763040623,106795.918016918,157752.366600926,186020.037745942,14969.8236292816,97339.8073529289,72607.1439242617,104489.650711839
95755,100872.011745917,100934.069631423,101026.176235719,103669.584235726,104075.768216915,28176.4367456529,52399.7569373148,58425.2833391481,52530.3521145635,53846.0218758155,2699.60145756387,25126.6131069328,33316.4647289723,22486.3285301284,25000.9455512756,101590.259942589,100691.810924892,107325.493974668,101966.263483702,99510.5390868674,63233.882312206,58023.6487719349,55898.6634223394,52471.9802825277,51621.6583554541,60497.1843056876,31226.9320069922,28200.6573953507,45931.057150484,24600.7415137716,119150.97669253,103168.336163865,103994.120818201,101718.337074201,103405.291225865,41158.1897956776,28293.7493179059,47447.2489856511,70125.564038076,46121.3547618403,26469.3652806664,13083.5479533204,22309.6645702904,24334.4116119042,33034.4336269899,103406.551192889,97230.3204338125,99507.5925195428,100426.629204803,110067.849399158,95471.5587332362,69398.9210272914,102107.460501874,102107.460501874,64820.1605894968,58023.6487719349,105990.687318952,111172.224318734,186182.813179577,13083.5479533204,95471.5587332362,73263.0034495323,95471.5587332362
89855,89692.1448020734,89258.639103736,89429.2788782712,89732.4234461885,87840.2734498532,25745.1266718811,51622.3699722961,48987.7260332702,45252.7010262047,53680.1589979487,4683.74945777743,11454.7071296897,27737.4646459387,28414.3109746829,34287.9832120123,90564.5905721841,87389.6148024325,88460.1585990375,85726.760632153,84429.331865078,48247.2820080857,40632.0540325126,46137.5498431971,45503.1251217079,48252.7036046103,76014.708669684,19588.6982457978,28156.3660721977,51336.0475765434,6897.95425934993,75043.8930447129,84825.6171002916,85615.9743137971,83619.4832101688,87015.3808981419,36839.6664937713,29259.5932180104,43968.2822238741,64767.1319499009,49726.9553863208,21038.0434147412,17513.313930575,4685.33702931835,9854.30421870618,31988.8523487093,85935.9116370777,88718.5384556084,86057.9418101445,89430.1655761787,103611.161096176,92421.0310074488,66104.3691228628,85793.5414667659,85793.5414667659,56343.23149786,51336.0475765434,104068.263468157,106177.858899491,189086.6640443,17513.313930575,75043.8930447129,58491.8871450673,89732.4234461885
86925.7142857143,85078.6609174913,85031.5932975079,82919.7494512113,87313.614595626,85291.1019272768,31361.6642936439,55504.850084106,54305.2406106261,53044.3147661121,53934.0826969766,3362.16780855617,17879.68651142,20811.2942798182,25570.7386083396,33360.769750209,87102.8362316713,87299.902711552,86881.7235362971,85402.5382562903,87660.7848550978,49344.0763250303,36959.7343750529,54044.8678275842,46705.5432239678,51880.9023232639,51805.3789036068,23044.146986499,29008.3237725775,34627.0687165749,7831.23720500154,85201.3256366896,88776.2015838021,88517.7267918844,87364.5051773103,85394.0353330161,33036.6507282418,31672.8955808184,53391.5958424806,34992.7096115704,36769.1443270652,21566.4202327661,13539.6630793591,21609.2415144662,14675.7816136372,2146.61635638923,87284.6790453788,85095.9402581773,89747.1492899806,88652.4338415081,96952.2980232125,89246.6052527882,61589.721949407,86779.8330778309,86779.8330778309,55029.6720588519,53391.5958424806,105470.596956671,115071.794279418,188791.302921256,13539.6630793591,85095.9402581773,60211.203013204,86881.7235362971
85323.1428571429,84286.5937191218,84091.5882232818,81835.4069527856,83107.7183565775,83491.3358972812,33089.1266384101,60217.8243929023,56118.882967061,57107.5747110886,55239.4657275365,3966.67674882602,26494.5809941485,20251.0300946068,25920.6407372685,31526.6716162231,86291.1777169495,84317.5402042863,88325.7890387143,85673.4366385743,85874.8152552916,50469.1609958259,41572.0323751681,45489.6997762557,45018.3875238503,48090.8719677116,63227.8055917373,39368.1194562804,43861.0792833194,35123.1681563567,0,99202.9858400526,86611.631564282,85749.2958689584,87590.8022324909,83269.9241499987,33171.2964179814,44009.5184688683,51846.6861375509,39672.7530975581,49281.0009704926,21707.5526021289,9106.04900996333,11951.6029790672,19812.5230228345,20710.9675025345,84888.3858621245,84553.4145654269,83316.5376050373,85820.3955456302,91730.6438854422,85598.5626782917,60088.8881784905,84677.7084224716,84677.7084224716,56173.5887494809,55239.4657275365,104128.999871815,107928.122726595,191024.960632229,9106.04900996333,83269.9241499987,62892.5096210813,85598.5626782917
