"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X1",1724.32608373294,1066.47779813917,2.61212717861717,0.995442923296051,0.146153846153846,0.521106485353107
"X2",1718.4357315229,1069.57707986987,2.60130096500616,0.995518448994136,0.153846153846154,0.517453829648075
"X3",1741.44237019251,1111.75426334411,2.67956667566354,0.995532790913387,0.138461538461538,0.530857690596388
"X4",1815.09060976356,1206.63159704627,2.9073197599526,0.99528203514511,0.161538461538462,0.580702042440609
"X5",1763.89575697614,1062.49725385459,2.55656325958039,0.99539191167608,0.169230769230769,0.554196501092303
"X6",14036.3438822075,7739.79483474722,10.8498187974217,0.904943463871233,0.192307692307692,35.170269766887
"X7",8128.81993698962,4583.33632696222,6.8786994427409,0.974683405913447,0.138461538461538,11.7427933353752
"X8",6717.87816946583,3937.29547240996,6.47221812476424,0.972358014191023,0.184615384615385,7.99897836982565
"X9",5554.00670991581,3236.32128447718,5.75591849709808,0.970024980530013,0.192307692307692,5.32493486177187
"X10",5490.44260438636,3163.18961979727,5.5238045399106,0.972562611263525,0.176923076923077,5.27934274419189
"X11",17632.6393245586,9387.07230937,12.8059247912473,0.770754166881127,0.253846153846154,55.457648565357
"X12",13002.0814534053,7332.89657368799,10.6587234491562,0.914819797583505,0.238461538461539,30.2393704177032
"X13",15613.1483702578,8724.46207449053,12.393255986461,0.855202505424558,0.269230769230769,43.5597856093021
"X14",13065.3509890581,7291.3408138512,10.7007995034478,0.888111562434823,0.292307692307692,30.4721711761488
"X15",16955.3018871903,9437.13939069384,13.57175721436,0.775227164335335,0.330769230769231,51.356914405137
"X16",1780.66954602787,1178.79415293062,2.86658836995171,0.995175504843688,0.2,0.554629394761682
"X17",1785.08322126904,1175.23630099798,2.82555890849243,0.995306873996547,0.192307692307692,0.559807429965051
"X18",1824.84184911283,1176.07551642921,2.80093569469969,0.99510122147766,0.2,0.584046796245409
"X19",1759.45894657643,1180.28098842121,2.85696333363348,0.995563784487661,0.184615384615385,0.542807504605029
"X20",1844.04144518504,1193.4427969411,2.89464069567478,0.995084222459007,0.192307692307692,0.60799502122214
"X21",11570.1937199583,7127.03760936021,11.2423745597724,0.934274154676506,0.261538461538461,23.7695417438763
"X22",6703.77644698967,3618.1873367207,6.53661479279841,0.946622736859504,0.169230769230769,7.94613978672969
"X23",6689.57711974769,3984.37068583263,6.84387574969916,0.965151595410313,0.238461538461539,7.88153348993368
"X24",6973.54809985823,4358.86461766583,7.49167958559715,0.965337300309676,0.2,8.57337744089805
"X25",7440.64288192675,4483.87225411329,7.72813892309848,0.957011266923852,0.238461538461539,9.81617533495618
"X26",15182.5599977296,9183.28996571478,13.6596840356311,0.893391248128196,0.292307692307692,41.0278196328308
"X27",17387.2211148678,9832.14383052839,14.3071778906822,0.775553082818322,0.269230769230769,53.8796892209995
"X28",17441.2479898421,10010.0782503891,14.5393663118084,0.782793379812276,0.276923076923077,54.2970582994205
"X29",26242.4686781747,15633.9934354344,22.5500267304835,0.335796609431292,0.330769230769231,122.880205578478
"X30",20950.3926382603,12607.9714191969,19.1905422376286,0.59643332373351,0.307692307692308,78.1489839185083
"X31",2544.78648876781,1838.32856377365,4.51375168255942,0.990531420602154,0.269230769230769,1.1546367588457
"X32",1819.15313891975,1245.566604747,3.03686019820693,0.995209306260752,0.230769230769231,0.587736079166874
"X33",1761.59581663744,1176.70506056947,2.87876923166732,0.995367809796238,0.215384615384615,0.547276436129382
"X34",1850.71415036888,1265.97351493218,3.04782967151527,0.995095176970492,0.230769230769231,0.602987966673209
"X35",1969.65502716611,1393.92507542524,3.44919621428258,0.995043162690799,0.238461538461539,0.692059438259042
"X36",17009.3892630897,10629.4805419839,16.0233780230763,0.887770639941536,0.238461538461539,51.5471285840503
"X37",9200.09285785654,5616.35915317473,8.6797100084435,0.978762628131477,0.207692307692308,15.0907606449051
"X38",9513.63066994745,6207.94463193022,10.2075267287937,0.958376915032341,0.246153846153846,16.1331238546722
"X39",10417.2909309796,6801.12066862856,11.3826524886238,0.933320234925059,0.269230769230769,19.3397951233359
"X40",8965.58818054672,6015.06940733975,10.1961665658962,0.961898620402231,0.276923076923077,14.2216710812083
"X41",23798.5141078565,14003.729555622,19.7548709302958,0.566748987574418,0.307692307692308,101.064502625531
"X42",19181.7069831486,12281.7661655927,19.447409454438,0.734412240269324,0.346153846153846,65.2872444688581
"X43",23779.7902799087,15042.592138607,22.8148669443921,0.585805136176445,0.4,101.151817121916
"X44",25075.2662417493,15860.0600003652,24.114696005178,0.473555927475809,0.369230769230769,112.303070483657
"X45",24058.0835988374,14921.5127652969,22.3751511786007,0.539251356378313,0.353846153846154,103.362044572746
"ARIMA",1725.3209355527,1060.04999969495,2.58030852423295,0.995497140922082,0.153846153846154,0.527785736287364
"ETS",1686.9481748142,935.311322196797,2.23838316718803,0.995679547639458,0.130769230769231,0.510509548647709
"SVR",1558.40362143471,1079.06927810528,2.64991112789466,0.996227625004975,0.130769230769231,0.429155118182752
"ELM",2202.93395414164,1563.64023473483,3.88453337408764,0.992417956419071,0.215384615384615,0.86266735736863
"XGB",3185.49430178433,2623.42450408366,6.21429400041658,0.984889205762704,0.107692307692308,1.78006041840985
"LSTM",3948.8637273477,3213.48132789956,6.92427300588758,0.994827632276395,0.176923076923077,2.73935712628116
