"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
62678.7142857143,62604.3448283363,62594.4707407538,62706.6802671204,62243.4428347133,62739.5941201619,58515.3377242088,57959.7277806827
61636,62231.4917116427,61607.6224903575,61802.5414874889,61573.3116333296,62509.6125492368,57826.1595237596,57779.1583815983
60992.2857142857,60803.4155967498,60694.0134456019,60739.5581895428,60343.0390928842,61817.7863971165,56650.1345037052,57065.3402940205
60227.8571428571,60405.8457526308,60330.7432927383,60346.7023578905,60055.6318127625,60915.9149628367,56342.9999830382,56226.6712851524
60243.8571428572,59511.7328702412,59568.8479035112,59549.3699513525,59254.8721732448,60067.4694376673,55440.71741942,55487.621005467
60005.7142857143,60088.1123967001,60071.5643325853,59503.229571576,58921.5005535918,59693.3556763104,56070.4630414418,55420.3630330222
58560.4285714286,59630.0703219422,59808.3585863153,59265.6465836346,58763.0080213972,59533.0500758035,55554.112465586,55526.3507828031
50456.1428571429,57514.1469448873,57612.03531756,57791.7570720806,57620.6868992623,58999.0836530413,53570.2461687497,54643.0289468084
55863.8571428572,45086.7131135638,45677.7887691241,48325.0540639704,50077.4104645732,55133.7431695121,41675.2988476753,48382.5883036341
57346.4285714286,59471.1809337235,58134.1559562959,54878.4422040795,53078.5337400129,53356.800359181,56380.015560082,49177.4337123462
58982.7142857143,56852.3337321994,58944.1714577728,56800.820453935,56580.0311795903,53558.3234179361,52475.2415015357,51535.4416437149
59910.5714285714,60408.0159527965,60491.2754067666,58975.7869696192,56936.1395780065,57508.6910232816,56743.6629440444,54746.598698616
60567,60440.7393987767,60926.2943718098,59207.7337890468,58538.5044977049,59940.9670307296,56408.0490063258,58318.6576296942
61523.2857142857,61272.133338932,61268.5041102565,62126.4414521422,66559.1039002599,60278.3509150914,57403.825168814,57604.9649714061
61903,62329.9035576759,62331.2993908384,64098.9467665867,58958.1743354145,60942.4850673675,58256.8418947629,58083.7146335329
60187.4285714286,62332.8150412297,62368.6031145254,62553.9882543352,63035.8474065166,61431.3945019586,58111.2184894425,58223.9097379276
59335.8571428571,59292.6019374296,59254.5400124223,60016.1673127793,60497.8737604712,61054.9812036242,55063.0846696581,56938.2246772221
57286,59017.2683940985,58548.8185009935,58639.3953909159,58883.3232335158,59948.6530588695,54920.318264825,55505.801284177
54855.8571428571,55838.4181079348,55815.9106393332,56260.1678536658,57137.3260601107,57986.7786974907,51754.3087859154,53218.0616282054
52676.2857142857,53241.1345435625,52980.1903934089,53349.6289250125,53853.7605551892,55887.210849217,49462.4438999721,50560.8978726523
51788.5714285714,50999.3653869396,50840.3642245492,50456.3705737357,49768.1261600212,53557.6823348999,47393.0208909852,48390.4764122963
56420.7142857143,50840.6895021473,50733.8949003617,49734.4595690457,48732.1301985305,51676.4729433741,47391.9129322597,47003.4932635852
50593.8571428572,58985.8329083047,59240.334693687,55768.7358596221,54829.8636559901,52869.6120931762,55454.9675803866,50647.9945777484
47548.2857142857,46226.7668925256,47937.2680850128,49174.4873291826,52746.6629092116,52691.3631359509,42559.6171496936,48860.2021338599
45401,46230.7433753088,45013.8541513832,46067.4482581523,46680.9870673611,50974.1595089776,43559.0656030519,45625.3668163844
43510.4285714286,43290.6268693528,43414.8859611418,43830.4731075968,41750.9126246547,46578.91860216,40404.323855332,42157.6615701744
42029.5714285714,41839.062533564,41822.2457179123,42713.5548673296,43625.6144373504,43532.0425594194,39128.3456279891,38269.3396534579
41794.2857142857,40509.9261885193,40663.2594697384,39609.4951995348,40051.1747983301,42436.7940019199,37896.741496018,38215.2587247235
40907.1428571429,41142.4809324869,41269.7610878093,38869.1398061826,37076.0206923566,41638.7571146148,38626.5518180302,38343.9665966715
40198.5714285714,39829.1682682561,40213.1651697931,39762.2546338737,39579.9588312629,41104.1217356409,37395.3100373404,38195.4548335416
38879.7142857143,39468.800980453,39567.3298942176,39564.5159284582,39502.170644967,40734.3561896597,37183.7874768802,37965.8181931632
38117.5714285714,37711.4630786819,37896.9026079831,38281.3961772061,39863.341902961,39821.5724071775,35527.5076432228,37042.9094796862
37482,37409.2075056779,37375.1263680451,37644.5146161399,36883.992866808,38794.6410027913,35244.9502950396,35950.29493727
36982.1428571429,36758.9597923917,36882.6440048459,36901.6686779417,37338.519181817,37927.4298622268,34580.460759776,35313.3266786507
36461.4285714286,36422.1826080177,36505.3485974931,36267.5287729866,36278.6687185112,37379.0773967675,34251.3900500025,34876.1394053187
34847.4285714286,35900.9496500174,36005.4249899125,35746.1496476179,35538.1671273782,36977.7977417537,33751.4985842705,34665.8920426369
33168,33614.1601666156,33739.139618288,34047.9890283949,34204.839726981,36082.5566390923,31551.4061286109,33398.1468545028
31916.4285714286,31949.013213118,31848.1412744418,32326.1434711652,32339.7306331681,34657.8018534524,30028.1788981301,31567.4506252493
30172,30838.7268452868,30791.6624146194,30931.3548387661,31035.2839828196,32975.5755775656,29009.9369562013,29860.8980354582
28445.1428571429,28716.1303616564,28813.5499471662,28980.4840573365,29238.1230604678,31330.6645153591,26986.302606242,27983.1065920762
27097,27037.5867482306,27036.7738606486,26929.1194478934,26715.6077250918,29798.1694540296,25443.1704443182,26335.0876708031
26560.5714285714,25858.5717844502,25895.8070756212,25515.5159020014,24747.9197089535,28234.3031336921,24397.5326550347,24931.0670435769
24697.5714285714,25826.244979946,25898.2103766347,25401.8111738271,24429.4411645409,27136.4484342847,24440.2831379345,24231.3806559699
23565,23093.1985593181,23401.8327945878,23524.6644290488,23671.8888719505,26054.5546119894,21818.9956433773,22999.4734032154
22409.8571428571,22611.2894584058,22523.0836322884,22426.9361441634,22358.2806039572,24956.9716760431,21448.5437204497,21876.626917839
21443.1428571429,21257.956998302,21424.073284672,21415.0249091064,20781.2064359001,23586.9319338798,20190.1534668377,20694.2886235373
20639.7142857143,20514.2939576115,20583.8606641347,20694.1564447682,20656.2883988663,22508.5118060793,19486.3697224344,19542.2937648977
20189.2857142857,19793.1251933519,19911.8812359615,19761.6139400839,19993.8409150994,21716.1227209568,18818.4796597617,19023.3056898117
19878.5714285714,19612.4765421091,19709.8977244428,19389.2409468348,19275.3804870253,21095.8644310406,18654.5679671764,18638.2168656077
18853.8571428571,19409.8250065322,19552.7962186394,19420.4623421269,19388.8425525707,20731.1822554384,18461.4800281525,18539.7235158852
18257.1428571429,17980.3707693884,18139.756763321,18396.6335913595,18562.7329774582,20222.8243126529,17068.1644423859,17875.484839201
17554.5714285714,17737.1418880145,17693.3945230579,17867.2459910731,17477.6621773566,19583.0617681912,16867.6587545361,17199.6004013845
16074.7142857143,16874.267829089,16968.4360917656,17173.6557717248,17185.3607679509,18771.555168833,16038.2331874881,16394.8617574487
16672.8571428571,14945.8817181932,15031.5597893316,15540.9789965468,15708.39319585,17777.9809872082,14164.3300520863,14937.3333436591
16728,16916.7064383552,16763.7729003298,16196.6198952868,15545.0018790949,17331.3028976236,16140.764663509,15098.64063641
16838,16429.6678367719,16788.2337298921,16397.6645503454,16375.7992689292,17225.5747167894,15614.8152628456,15462.4343545437
17389.4285714286,16865.6299042733,16924.4417820342,16804.5458045969,17288.0214384895,17706.6117213794,15998.0139373371,15988.2217423746
17975.5714285714,17662.5357754035,17768.4954379742,17426.5725092113,17567.0209835032,18174.7486719404,16784.7587044239,16989.063854507
18806.4285714286,18317.3383627067,18459.7908733767,18498.7311696316,19894.2141339682,18594.0692397867,17382.1766691038,17520.6680256469
20566.4285714286,19378.6015646944,19482.758423169,19618.2539727376,18900.3700071682,19358.717547008,18361.1923427582,18514.0139956474
20516.2857142857,21774.2509610566,21936.9724595283,21404.6727829017,23117.6183578554,20578.099291529,20626.0411533628,20343.1597795146
21057.4285714286,20563.3303792497,20863.1831738228,21320.2494755891,21107.4687905394,21481.8870066234,19318.6986353057,20940.0812532561
21350.5714285714,21722.3855840191,21502.028793999,21856.4598076717,21758.9147766659,22154.4318896021,20442.5311342648,21342.7441146033
22964.4285714286,21624.2123940942,21661.3140272196,22002.0521189452,22068.0007110253,22246.1067637716,20331.2474811418,21424.2731528963
24376.4285714286,24190.5319554126,24121.5064885814,23886.82097847,23347.4654156764,22956.6985312871,22788.1703440121,22348.7636690821
26309.8571428571,25350.5574766624,25635.4707833153,25131.5068668296,24970.0496966817,24292.1232736451,23811.0880111286,24224.6283792087
28332.4285714286,27822.5011432406,27959.6380544394,27198.0815472608,26169.0257410548,26144.5292224543,26150.0306904656,26409.1188248907
30120,29881.5965068562,30154.2358003355,29658.8336273212,29588.3005511767,28133.513731139,28079.5094536373,28854.2583028248
32255,31632.0807383896,31822.3096986996,31805.6975971683,31874.8510520191,30066.8180876459,29696.927112375,30759.0135593414
33146,34047.5686649949,34162.8855738683,34138.9318488169,35900.7082562015,32066.1749017579,31970.5559732573,32880.2980954647
36491.7142857143,34116.8042490737,34257.2488871148,34750.0124481124,35295.6188402514,33545.9060418946,31894.3925212451,33932.2700638771
39643.7142857143,39184.6275434885,39085.3676569915,38355.1674403486,38345.4984943085,35609.7091218744,36817.4712363652,36436.2428469658
42552.8571428571,41950.5245342568,42520.9989035703,41606.5051333125,41353.3574391629,38220.7671610287,39240.6745251928,39655.5423532554
45444.2857142857,45037.1956053306,45328.1052069467,44749.4539250399,44610.5695167409,41544.1973667826,42128.6490786416,42803.9359852586
48573.1428571429,47936.1531347974,48169.6913217888,47624.0164517457,47839.350832742,44708.1302941186,44822.4381867817,46036.4752499035
50726,51268.7711654534,51445.5846863841,51176.4872274416,51281.7072235931,47525.0491549628,47930.8895583153,48604.9814025334
51885.1428571429,52788.9634677086,52953.1666269341,53442.4747769172,54701.733736192,50087.8691797938,49204.5961218561,50576.1305630548
54870.4285714286,53386.9150059468,53256.7602364694,53898.7136117487,54364.5604275424,51951.797202519,49694.7250078746,51534.7099728584
60667.8571428571,57486.0390573646,57237.006936259,56733.4193872291,56133.6643556218,53772.5914861815,53649.5592895916,53327.8749713216
64496.7142857143,64894.261304652,65344.4913446852,63120.430661155,61518.7367728893,57192.9715645654,60622.9539519037,57625.74442373
68852.4285714286,67513.5169880351,68395.1570341202,67127.1661673582,66920.0603969631,61873.2540163313,62686.4748159817,61943.0623843329
73005.2857142857,72697.6215886386,72890.1816779241,71639.3295359214,71293.3500123856,66935.5034966469,67876.2928521974,66270.1847344126
76375.5714285714,76555.1212195428,76928.5397682615,76346.9013917629,76543.5225879836,70991.8658200673,71187.4100826808,69687.777495248
78070.7142857143,79567.9909777574,79710.7734616444,80368.1611447137,81791.6080420917,74545.9047431946,73960.7352970668,71844.0881605148
85049.8571428572,80174.4330963496,80099.8788311358,81169.7971596759,83246.5246080275,77272.7584057535,74268.1137080192,73134.0238804817
87130.1428571429,90600.3106971994,90389.7557067058,88099.5514375856,86435.7429628065,81079.0495670182,84657.8677431515,76914.9852935246
90580.4285714286,88997.0893497748,89977.5167618692,89868.7527454713,90244.2101609583,84661.7142413684,81572.7462194988,79178.0571891921
92718,94214.3511575586,93645.562628871,93164.9172531093,92232.2687767267,88783.69001988,87840.224839483,81459.3233001573
94569.1428571429,94827.4494072722,94959.3855148796,94649.1641380895,94382.5421425438,91136.1163478579,87218.924789633,83106.8300518308
95804.2857142857,96762.7485841262,96388.2445644586,97015.6279145021,96043.990459477,92838.2196820123,89696.8779634067,83257.7772336687
102500.857142857,97327.7000574942,97101.6038520514,97490.3197403784,98601.9918212897,94341.0158748627,89699.5537882532,83980.9885813849
104078.428571429,107566.325536818,107363.762336551,104167.519502074,100463.067806327,97572.0186307089,100177.833028725,87241.0421543802
104303.285714286,105401.450723279,106450.429158699,105836.239198428,106029.98829021,101069.022068501,96179.6977688925,89366.302102157
104338.428571429,105666.97582798,105102.505605553,105586.170544145,104698.466810585,103828.717300074,98024.4908566475,89904.8606305803
103777.428571429,105026.653998324,104581.592069905,105104.009729529,105927.065893737,103861.517059326,96597.1334132467,89519.6951551437
102703.571428571,103928.280288024,103491.741040898,104773.021613845,105917.759783414,102632.435449736,95943.8140530586,87632.0052503177
100908.285714286,102339.732772311,101953.157714621,102541.865798293,105226.548554024,101722.250840868,94220.9312665803,86516.158416135
93521.1428571429,99912.8411699057,99587.2197166712,98885.0264258372,98995.6366373349,100304.60023083,92036.7195526532,85135.2376830918
90241.8571428571,88724.1164536728,88810.1082139915,90323.1374153237,92511.5078334548,96206.3305880683,81192.6885034697,80348.0964448111
86700.4285714286,88171.6164023094,86967.0122092136,86733.4941805345,87209.5339345721,91244.1667126247,81958.5458096777,76263.6797702653
82829.4285714286,83406.4921745628,83662.6294889213,82804.1397027908,82335.3017539103,86095.9772639956,76472.686776638,72779.860344478
79076.7142857143,79659.62085319,79668.4090714694,78743.6600794241,78638.6887291582,82625.3627550942,73678.4427440507,69787.8700684139
75903.8571428571,75810.5841485845,75955.7346635788,74171.2471527404,72168.7148372778,79521.5452989851,69948.3429079737,68056.8274098124
