"Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP","DESTC","DESTCRI","cSA","cSM","cSVR","cELM","cMLP","DSLA","DESLA_m","DESLA_a","Oracle"
58982.7142857143,55988.3128109528,55986.5137061534,55881.629967059,56238.405684432,57284.4119853361,47733.9737787843,49979.7808472348,50568.8338313001,46635.9144851135,49299.1754136625,43768.2179725164,50988.2655775985,47821.8815333613,48496.3264077609,46452.9150178047,55764.512859717,56043.7912184045,55862.0683011244,55957.2973221282,57766.935774984,45593.2874667223,49785.7375752969,48645.8998142431,48499.1826311264,49798.3688848496,43606.5546527489,42923.4997678332,44854.1798205725,37014.0615498965,38236.6047705015,56706.9598177485,56902.1457075208,56360.6202198511,56090.6259743135,57295.6350768197,42897.0771252256,50730.6552396978,50290.6384522915,49323.2222561394,46953.8376831538,39172.9249176829,36089.164860005,44423.6755660231,40012.4782146611,40490.7230251981,56852.3337321994,58944.1714577728,56800.820453935,56580.0311795903,53558.3234179361,52475.2415015357,51535.4416437149,55957.2973221282,55957.2973221282,49960.2936498291,49979.7808472348,108494.82265156,58564.4654300234,58407.09101324,43606.5546527489,47941.9629595069,48456.0208687357,58944.1714577728
59910.5714285714,60852.6522150336,60966.1771727745,60835.0768882756,61530.925866922,61008.3043974854,52539.7506304773,56998.4365390143,59131.3003966688,57348.515977307,58721.7462441878,50427.1352223177,56286.1538876819,58538.1093482336,56669.494350937,57419.604179845,61438.8562748504,61381.3781000855,61454.8440509143,61391.2320443884,62311.2247363237,55526.1186895456,56924.7172494813,53859.3262694104,52202.8365959018,54191.8572874736,33771.5351318581,49376.1279169658,51612.0664704009,49986.6828987659,40143.7048499514,63029.0981129022,60375.0098427203,60539.5718490038,60351.178894264,60807.3412463064,49386.4847411961,51346.5140568961,51963.5617938713,49807.148829787,49820.4615721651,37529.829919965,42695.3470360152,44206.0974981053,42786.7134652623,46248.3913966078,60408.0159527965,60491.2754067666,58975.7869696192,56936.1395780065,57508.6910232816,56743.6629440444,54746.598698616,60449.6456797815,60375.0098427203,54719.5325587577,56924.7172494813,111370.786154367,66348.9940784763,59807.5560654733,33771.5351318581,51963.5617938713,51525.2417334842,59807.5560654733
60567,61024.981815065,61529.2353893169,61116.1390949838,61447.6593878832,60920.0145198078,53977.4026576081,58477.551545661,60214.7402734705,63188.5155224045,62663.9308182557,54872.4231573676,55158.0771144242,53251.6512904592,58213.9974802342,55370.4445326503,59033.8344335445,59435.7074266737,59463.4407253388,59088.7906934863,62030.3951271817,51716.9298536111,52813.3611117209,50987.2180423189,50171.0969255864,51066.2648881871,54861.0173580041,48199.0481995294,47698.0405189283,42825.2272096887,43599.0134856565,57171.2641036916,59532.4319632449,59642.6215270538,59625.246416227,64182.8780076499,46715.6811983963,53184.4559540622,49097.4227966228,47397.0570581867,49288.8971973981,46812.4490164996,39668.0719207139,46031.8704241633,45286.9885525033,39983.4661251269,60440.7393987767,60926.2943718098,59207.7337890468,58538.5044977049,59940.9670307296,56408.0490063258,58318.6576296942,59061.3125635154,59061.3125635154,54721.4297405806,56408.0490063258,108981.188680128,67801.1723523079,62217.1135011361,54861.0173580041,50407.1763251169,52882.4463530178,60440.7393987767
61523.2857142857,61384.9042504589,61320.1737280951,61377.3020137646,61409.9381986245,61245.3132676179,52864.6326099909,57919.7098200554,60215.4948481253,61582.3638464604,61436.0027592693,53527.7696858723,56310.1215798732,54030.4754841163,57633.1994660801,54681.6406899666,62352.6019656196,62351.8114480641,62841.720115988,62943.1790475081,61939.6582686738,55992.9930967755,57554.3904872041,58537.5613487618,57429.4589261725,54928.3652131264,46635.7221557569,50659.866352006,50221.3281921447,45473.863481799,50372.5025958974,56166.1634114154,61369.5724552484,61137.8850668076,60833.6463402555,58803.2259025942,47709.7275236719,55096.0601791611,55625.9618036522,53171.8524180168,55558.1202843913,45857.554613644,42839.2328684943,49928.1048154592,50451.6524720017,51413.0268761489,61272.133338932,61268.5041102565,62126.4414521422,66559.1039002599,60278.3509150914,57403.825168814,57604.9649714061,61270.3187245943,59818.4361214248,56632.6327761034,57554.3904872041,112570.938007886,68994.2473072911,64771.1000513455,46635.7221557569,55625.9618036522,54673.3700619048,61582.3638464604
61903,62377.1782375346,62315.6055993817,62345.0497321014,62338.3263650232,62268.7966019967,52852.1084711382,58133.026999695,60490.0061245,61536.6485086271,61568.773466219,53645.4796389267,56384.2125693912,53494.6727569222,57214.8181678398,53873.9029966927,62312.0238317874,62444.4206612284,62806.5319530459,62921.5992129838,62916.3629054151,57506.0093192323,66667.1160512397,63820.4866946827,64090.641113632,64229.2324149214,54494.6530912442,56074.5827518405,58172.6608956381,47120.6953937391,57500.1379810417,72893.8441371067,65432.5784709315,65563.3114519486,66255.2966175544,66311.2640097922,50590.9370297866,58431.7205172121,56933.261501534,57163.7276015171,55159.0340189515,46276.0312229357,44205.0447155551,47021.4186218879,49835.8365370794,47460.7303306031,62329.9035576759,62331.2993908384,64098.9467665867,58958.1743354145,60942.4850673675,58256.8418947629,58083.7146335329,62330.6014742571,62329.9035576759,58746.5487196216,58958.1743354145,112810.96625463,73820.1274286671,70025.7257530169,54494.6530912442,56933.261501534,57594.863266086,61568.773466219
60187.4285714286,62277.8752131697,62209.2234067056,62230.3255609908,62246.7822302881,62219.1073208924,52698.5952995183,58084.8505936513,60444.8283382849,61318.4328167654,61346.4083291723,53033.1870019983,56465.1400106686,53744.0755589622,57347.2558055011,53905.0749964501,62395.5587971713,62341.6379506532,62437.4529630324,62335.1072964835,62445.9616618577,56546.7057166534,63891.2436006435,61416.3802197432,62120.4039863625,61333.0166493935,50860.4704349841,53683.0730659181,55700.2122158292,46411.5654958017,53746.0298381548,57545.2927143746,59142.3868332372,58979.9079993577,59474.7277586136,62186.1555916758,52855.9378179385,55819.8748944924,54547.0447486753,55941.8121470072,55977.6222948555,41693.7882445442,53980.0074333675,47853.5244845714,47893.1719493118,47416.0213571986,62332.8150412297,62368.6031145254,62553.9882543352,63035.8474065166,61431.3945019586,58111.2184894425,58223.9097379276,62333.9611688566,60396.5802876895,57535.7482348566,58223.9097379276,112241.33529663,71932.6305548779,70326.0915010273,50860.4704349841,54547.0447486753,55983.4740390773,60396.5802876895
59335.8571428571,59317.4060424264,59284.0842079446,59220.0719628236,59428.524124729,59357.4465319079,51221.2950349555,56421.2900302458,58276.271016594,59999.2052550357,59359.36287761,51645.1403843138,54093.5640193519,52357.0121451228,56067.0243988442,52241.2299972631,59370.3927268126,59401.8389662987,59558.8500028275,59295.4835003792,59608.4317588334,54260.2788202765,61810.4013252808,59270.770879585,60252.8503262147,59408.0513037369,49563.1364597638,50509.8315186521,54545.7162946915,44498.1061864825,52042.4175616591,63255.5111266574,59527.579454672,59599.3004793977,59848.0675174511,57739.8027222628,52136.1174002512,56457.3461082108,54040.8146711121,57628.9721157039,55854.6833442147,42866.0412540256,54505.5720388236,49607.6599106899,44608.1384813428,42371.0759680468,59292.6019374296,59254.5400124223,60016.1673127793,60497.8737604712,61054.9812036242,55063.0846696581,56938.2246772221,59295.4835003792,57739.8027222628,55971.220309504,57739.8027222628,110993.742088187,72285.4297049546,73294.0366639492,49563.1364597638,54150.5467456943,55249.3624549251,59317.4060424264
57286,58975.4878797824,58947.1936411697,58939.2835232025,58976.0189106067,59053.3355728821,49766.2236803679,54831.6893585489,56028.4362263877,57454.6364733362,57059.2946492341,51416.6507829845,51841.561345942,49137.9529933819,52308.2536577844,48250.8144249348,59040.8108133652,59089.1294352875,59164.3349431194,58967.0489713202,58976.1581923605,52620.6462221831,58842.7536911279,57611.3808612126,58353.4724981847,56900.403767598,48771.2831543322,48568.9663845479,51335.7966641835,40805.4408194382,48346.4209197058,57710.7323695342,59146.0826810229,59119.9837832098,59647.22189426,59310.9057491752,45227.4960784677,55185.4331310931,59044.2414814326,60471.1445896174,59584.5512021615,39730.7218639393,52838.2771991824,45627.493583656,44466.6342471693,46115.0136868667,59017.2683940985,58548.8185009935,58639.3953909159,58883.3232335158,59948.6530588695,54920.318264825,55505.801284177,58594.1069459547,58548.8185009935,54707.7432205277,57454.6364733362,111138.225041091,69910.0059220738,77887.6236687655,48771.2831543322,54433.356712785,54057.5223051462,57454.6364733362
54855.8571428571,55591.8062085012,55599.0001711848,55679.7789051963,55541.4822461527,55626.6073679018,48210.4696880454,51959.4242329476,52410.8347414498,53363.1700096283,53070.4378052978,48751.2203824977,48979.9943217062,47016.5638370248,49743.3860426957,45674.9597414173,55718.7058288784,55771.433874216,55950.9642625918,55633.9662010456,56038.8114695096,49072.8896006597,54657.5694822413,54311.1317100318,54920.227855944,53915.525328403,46148.3869688194,45723.6300027343,48914.9769477096,39208.240736632,45298.7866114275,56140.1108084402,55860.1903553952,55875.903373181,56735.2540329817,55900.1077040657,44335.9770424853,53462.4457005225,54860.6256738116,57099.4797176324,55261.1827664316,39446.3775001982,48540.9669314352,44707.2562457202,42751.2689486082,43092.6925359927,55838.4181079348,55815.9106393332,56260.1678536658,57137.3260601107,57986.7786974907,51754.3087859154,53218.0616282054,55767.3082341058,55633.9662010456,51862.6154408539,53915.525328403,109696.0954726,65168.8495352874,81971.3300641994,46148.3869688194,50741.8621710547,51178.2554047953,54860.6256738116
52676.2857142857,53079.7804443091,53151.1233724258,53285.5252350896,53097.460752882,52995.5123551964,46458.7513891692,49802.3999953633,49300.6605662049,50076.6680670192,50018.4940221799,46642.3527149319,46721.7403119796,45504.261472654,46762.7628722384,43590.0500607284,53374.7337112979,53439.9205501671,53622.6574539119,53477.5924655876,53274.4953576114,46747.668492471,50805.4030943645,50807.1222683981,51414.4750350958,50477.322319295,42895.3313038468,43568.9530885164,45984.9592793416,38403.3176179855,40980.301597023,54428.1206745828,53343.8298988279,53359.1153897723,54349.6636226375,54280.2263854057,42426.3598463302,50690.033861937,51838.6357134918,53539.192168616,51575.7589854598,37248.8317877755,45838.6972684565,41345.8495554646,38603.6959181244,41423.9093261849,53241.1345435625,52980.1903934089,53349.6289250125,53853.7605551892,55887.210849217,49462.4438999721,50560.8978726523,53295.3817342875,52980.1903934089,49221.7491032364,50690.033861937,105517.301034373,58547.6390792282,85894.4968186025,42895.3313038468,48024.1645293379,48414.3026462058,52980.1903934089
51788.5714285714,50825.9741817662,50884.2704580455,51061.6230664075,51077.5844793603,50920.9407789137,44964.1157640293,47443.946601528,46606.331098657,47270.8801478349,47244.108871934,45380.7318075586,44091.1768264774,43008.2689722562,43932.4947804666,40835.9899560883,50679.2620716214,50864.8636538471,50840.7541635356,50957.1195116637,50582.3676565367,43002.2868573714,46615.5750787854,46548.7054747604,46312.0243617896,46254.674331116,42482.9786468601,41870.1276240872,41747.1717333141,35309.5972158542,36388.247795971,50555.9627714897,50550.7537302564,50628.4773137392,51384.4609801453,51488.3461334212,39799.4759489541,48094.2933854352,47542.506870275,48521.0045491213,46946.0228414413,36099.5133505418,42506.2414863714,38350.662253843,34543.8401143554,37104.7126909938,50999.3653869396,50840.3642245492,50456.3705737357,49768.1261600212,53557.6823348999,47393.0208909852,48390.4764122963,50617.6124215555,50456.3705737357,46288.2333370683,47270.8801478349,100985.482258275,53823.6797307518,90959.2289538694,42482.9786468601,44804.3089780142,45515.042025301,51488.3461334212
56420.7142857143,50596.9751428756,50671.4248816078,50835.6865421421,51037.3045114442,51144.5956865535,44276.6330153272,46661.7627533093,45579.4443108,45242.0611248995,45877.1858769482,44034.0050288813,44068.224370856,43019.2968845978,42556.9282904104,40712.4290038188,50756.2295206113,50955.5909542343,50946.3659912256,50949.0028327603,50982.5681852544,42342.6568549891,44944.419096779,45563.162549141,45036.20005972,45187.4996843729,40332.2942266441,41473.7025860018,40985.5139662443,34203.5660954967,34374.6171456407,49060.6858749557,50703.0058779846,50700.8341127391,51084.396273748,50879.1260913767,38602.7243585906,46705.9335897162,46398.7656712598,46234.9155278508,45612.5300050046,35178.2795217117,39777.5127463711,38316.467619029,34141.0158410928,36449.3078823836,50840.6895021473,50733.8949003617,49734.4595690457,48732.1301985305,51676.4729433741,47391.9129322597,47003.4932635852,49734.4595690457,49734.4595690457,45504.096594781,45877.1858769482,99087.5958032446,53123.729114436,97862.9991420034,40332.2942266441,43961.0505828945,44484.0635098689,53123.729114436
50593.8571428572,58718.3266072482,58722.9820735777,58541.9250347483,59307.4359320828,59382.5267656605,48084.4228382469,51581.4680218056,52059.5228476044,49082.641795682,51558.4946722432,47986.9247075557,51194.791711653,48106.8862655281,46219.9362858047,45888.9159022874,58616.6387110361,58660.7665149174,58554.6972727257,58506.1328343975,59113.6920051447,48377.4891978611,50056.6339044281,49145.9947726054,48674.5588511628,49960.6051170741,42031.9269680248,44990.5289097515,44415.6061776536,37322.6428472575,35730.9095223743,56322.4495280788,59714.4787618663,59232.8514394676,59305.5417807654,59506.7688581812,41720.4778242056,50241.492303889,50256.1342769468,50005.3851406322,48218.2005239548,37344.0305529173,39863.6838776645,42447.8358583212,38420.1401848907,39135.309507997,58985.8329083047,59240.334693687,55768.7358596221,54829.8636559901,52869.6120931762,55454.9675803866,50647.9945777484,56322.4495280788,56322.4495280788,50811.9572597959,50256.1342769468,107909.443035551,64351.6431547531,98325.5623939395,42031.9269680248,49316.811737404,49103.0003299577,50647.9945777484
47548.2857142857,46355.6496313381,46420.682605882,46433.9303200284,46744.83602433,46392.8597197057,46121.8313306933,47900.1780988111,48706.2475643766,49306.7850861803,48930.7362427377,43613.9660855712,47395.1056516199,49234.5543229044,51800.2990306926,49686.6338994561,46026.8240820745,46337.586968337,46612.7650052982,46311.4596265052,45184.5517996627,42779.5774457612,46462.9913470355,44850.2548724049,43257.1219901607,44017.9755206306,39780.5089948093,39759.4877930195,44002.0599258888,41602.3308331128,38213.2109266561,50722.8499466868,46089.3001747033,46013.375577749,46368.3401720238,46124.6111912957,40827.9632623218,45455.0318155225,43771.1898004784,39000.5646077311,41187.7587807308,39899.2175367364,33519.0050965753,35789.0588576548,40671.7536144737,39713.7784624913,46226.7668925256,47937.2680850128,49174.4873291826,52746.6629092116,52691.3631359509,42559.6171496936,48860.2021338599,46089.3001747033,46089.3001747033,45083.0886205286,46121.8313306933,105443.093748344,48776.7661485056,100954.308808573,39780.5089948093,43275.3836231198,43217.2642920142,47395.1056516199
45401,46917.9716271944,46976.1174838166,47154.3565473099,47503.1887634734,46197.500272034,42452.5043752174,46003.7755468416,45853.3873592222,48246.3685398892,47313.7004953321,45692.4204632889,42801.5979373411,42186.862935305,43859.1690382015,41052.3821516108,46988.1211761633,47351.0744922127,47159.7512726806,47404.5904469495,48786.2165783496,43887.631757215,43667.432592136,44366.9536903072,44231.8497301266,43103.7756283841,39966.7006184584,40983.9127490896,40827.2734464929,34981.5588029605,36119.8634896621,47351.1114534335,46464.7616689492,46985.7806183075,46929.3557906424,47848.0447584114,39418.3436979769,43611.5842451215,39598.101716198,38921.4122685185,40420.3823812818,38637.1665968278,35502.7198800557,32882.8155694394,32805.0473884953,34765.4377557188,46230.7433753088,45013.8541513832,46067.4482581523,46680.9870673611,50974.1595089776,43559.0656030519,45625.3668163844,46067.4482581523,46067.4482581523,43517.9162539229,44366.9536903072,84166.5906303177,53326.0282750693,106932.386869023,39966.7006184584,39782.4011673282,42146.1276108857,45625.3668163844
43510.4285714286,42946.258747459,43171.5725310201,43508.2370113053,46191.9871761491,43173.9715216411,40297.0434448935,39731.9725493745,39308.7502087883,40431.1870796419,39714.0939759242,42173.9418877983,35091.2290075081,34786.6133304862,35979.964689526,32619.3222640455,42914.0680168874,42831.2464650032,42629.7957138486,42686.6451059686,43166.7884167937,36161.7894466571,39677.8654549055,40562.1726276544,38873.7873746384,41352.3757387266,41592.9148844664,39096.6899824569,38826.2936423766,30289.0423771208,36971.7901158381,40843.8181592444,43841.9050886335,43662.9403333103,42269.5531615859,42977.1405981074,33138.3567270101,41035.4082217189,37792.3129100039,37905.0760416678,39741.9955190759,37090.2387897897,30448.1121180888,32924.9264440923,30932.3216032644,29507.0918573589,43290.6268693528,43414.8859611418,43830.4731075968,41750.9126246547,46578.91860216,40404.323855332,42157.6615701744,42269.5531615859,42269.5531615859,39595.14023931,40431.1870796419,92037.9748881577,50070.8054554633,112835.022415623,41592.9148844664,37792.3129100039,39178.2090434302,43508.2370113053
42029.5714285714,41351.114920028,41540.9147980844,42725.5949103506,42745.083532672,42762.8981643992,38224.8361428407,39363.563613069,36283.9024960693,35329.7287395259,36647.9485358827,35499.9726409778,35847.5031097978,37868.8469084437,35352.4566700715,35152.9827556083,42730.5899883392,42994.7802674055,42949.8617926179,43466.4332653254,42221.5411237094,37507.2617163611,38538.5195149286,41336.9705188657,41677.2896089377,40379.58793634,36019.9455151572,36815.2423692299,38934.3797029893,35946.9536482035,34902.8639008188,44856.4579944512,42991.0822551744,42670.3563302362,42829.7610868468,42885.2855706923,36381.1937898498,38020.6329157744,38392.6416020525,37843.6096775711,37199.7942235393,33485.2065909343,30497.81251948,33429.2290665871,30550.2978226711,30861.9161335385,41839.062533564,41822.2457179123,42713.5548673296,43625.6144373504,43532.0425594194,39128.3456279891,38269.3396534579,41822.2457179123,41839.062533564,38933.2144483028,38538.5195149286,78349.4599856693,43427.4255440997,118606.433238027,36019.9455151572,36944.2277531054,38359.6575024319,41839.062533564
41794.2857142857,40474.2963497689,40580.4351646915,41021.6091496596,40994.305719606,41148.0452886659,38075.5762671356,38875.1095934759,37581.1821130451,37183.7292197118,37712.5581391833,37187.3422475412,37099.5574949258,37635.4278992184,36696.0029378149,36158.0488160478,39705.9352614817,40101.3795012736,40663.0536377074,40363.3070176877,39673.7376880149,34556.4957728363,37990.9749120694,35205.4357159658,35747.1555406698,33715.2681543628,38491.4886502634,34626.5508088913,30598.8983757271,33460.189902548,29073.1054533807,44963.4610048388,41322.046981587,40409.194876226,39903.4054347263,41481.4534251482,35716.5002355922,37098.4102244122,34711.6236437906,32833.6495899322,32314.1345263088,32829.3368032538,34373.3590474654,26749.3784149611,25697.3651098954,27888.7757463129,40509.9261885193,40663.2594697384,39609.4951995348,40051.1747983301,42436.7940019199,37896.741496018,38215.2587247235,39673.7376880149,39705.9352614817,37050.9147330752,37712.5581391833,91175.2362406063,36582.4988354323,123134.87598321,38491.4886502634,35214.0619396914,36681.5333666025,41481.4534251482
40907.1428571429,41118.6242077366,41181.9142831328,41234.7604525387,41417.0446084691,41661.2385091733,38321.9253830619,39208.4360243963,38543.6149737735,37950.5600906039,38478.5506968986,37901.5710692732,38212.757118812,38176.2913754087,37348.8390137628,37111.0785196321,40982.8945116451,41307.0242919337,41716.9469770452,41751.0585006017,42489.9325644136,35376.337692779,37100.3150732383,37053.7918942656,36955.7724724966,37225.9041724013,32688.0061037448,35437.5487048512,37155.1293096567,29455.4011716997,30446.2227821401,32318.4879263244,38683.4392118279,38693.8657564148,39019.1091620662,38964.9535888599,34960.2657950102,37235.1898381531,35315.5237094587,36380.7496285702,37021.3500454894,30658.3508944324,35700.2130866212,35243.8828954844,31938.7084140613,31701.7756336457,41142.4809324869,41269.7610878093,38869.1398061826,37076.0206923566,41638.7571146148,38626.5518180302,38343.9665966715,38693.8657564148,38869.1398061826,37543.008077969,37950.5600906039,82415.8713648554,48801.695462885,135972.66408733,32688.0061037448,35345.9307011189,36317.4434309505,40982.8945116451
40198.5714285714,39878.8607336651,39929.7202163104,39947.8918545014,40006.9430078858,40088.5044274464,38216.1217956604,38831.5357156989,38544.0067142219,38108.6109588688,38447.3937031938,37742.5271629888,38440.1567281066,38569.4678819551,38389.1659239508,37993.1119604049,39763.260091788,39989.0789477043,40188.0825581675,39960.7300187714,40369.6337193435,36154.9092459606,37252.4732698743,37229.5133916758,36488.6268445707,36775.4268705717,34465.8934589699,35704.4220838372,36403.770093722,33117.0016601517,32588.0682539312,44416.7537380777,42885.8084197504,42695.5163923845,43087.5298006115,43964.286140801,32696.0332386273,40511.3387594922,38730.052887698,38214.594122503,39586.8520035259,36594.8297117016,30459.3376538203,35664.0843691741,36318.6626892351,35083.7241575699,39829.1682682561,40213.1651697931,39762.2546338737,39579.9588312629,41104.1217356409,37395.3100373404,38195.4548335416,39763.260091788,39829.1682682561,38366.5663951944,38447.3937031938,68537.3476245303,46731.4966469142,138384.757078009,34465.8934589699,37349.4579800912,37652.4497868756,40188.0825581675
38879.7142857143,39634.3513928841,39670.6058680446,39671.7895738584,39671.9652831863,39569.075551313,38055.4110468914,38808.6084043074,38736.0724260022,38594.8063174711,38735.8351555572,38186.7722712914,38473.1441009536,38513.0476725229,38449.2211069995,38130.174147609,39540.7951889161,39660.8178068943,39792.3719403077,39687.0420257928,39849.6475305601,37030.2372979982,37412.0317145739,37425.5685452587,36861.4644906973,37025.4491974084,34975.0684261442,36341.812456591,36579.7453189017,34446.7570197105,33797.1724947238,39290.406642253,40000.7148095477,39787.6506412974,40230.0019885329,39382.1619278,31707.0822590789,36363.227960771,37169.4698845466,33275.11862571,34473.4048833592,33589.6296804328,31187.2079160775,28015.7198081276,31412.3818129164,31100.4897937424,39468.800980453,39567.3298942176,39564.5159284582,39502.170644967,40734.3561896597,37183.7874768802,37965.8181931632,39468.800980453,39468.800980453,37346.3521239702,38449.2211069995,70061.2643509378,44397.6307332618,145057.440682868,34975.0684261442,37099.8535912724,36484.2093750151,38808.6084043074
38117.5714285714,37823.1771240773,37837.8000200821,37881.2312663927,37784.1273831291,37836.7775974059,37006.5284613184,37349.5664141527,37316.4291916528,37453.0307215441,37400.6658229206,37290.2363059922,36916.0453948563,36881.452999249,37206.6732722759,36667.2378732181,37653.6323463855,37759.1593983327,37856.5496081033,37780.8693649048,37811.2306620212,35756.6630410739,36285.9227774713,36364.1470555336,35872.4742953026,36159.8023898154,35524.4303016405,35702.4698807202,35789.1083949158,34084.585178902,34355.0738848358,38499.872700148,37565.0465747245,37582.1451263685,36058.0385689855,38553.6846450097,35603.8713314735,35020.9428340397,31862.0267441339,32986.2354050349,32565.3109427639,37624.6186813816,27451.710938504,30766.6019114134,30097.0681592889,30854.0433366739,37711.4630786819,37896.9026079831,38281.3961772061,39863.341902961,39821.5724071775,35527.5076432228,37042.9094796862,37582.1451263685,37624.6186813816,36212.1614215884,37042.9094796862,66791.555983547,38089.7471966499,152022.31774688,35524.4303016405,35564.150816557,35281.7407640462,38089.7471966499
