"Target","SVR","ELM","XGB","LSTM","MLP"
Inf,Inf,Inf,Inf,Inf,0
Inf,Inf,Inf,Inf,Inf,0
Inf,Inf,Inf,Inf,Inf,0
Inf,Inf,Inf,Inf,Inf,0
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
Inf,Inf,Inf,Inf,Inf,Inf
