[1] "Iter.: 1 | lag: 5 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00196441016590819"
[1] "1e+10 --> 0.0019644102 - it: 1"
[1] "Iter.: 2 | lag: 5 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00142975043015107"
[1] "0.0019644102 --> 0.0014297504 - it: 2"
[1] "Iter.: 3 | lag: 5 | kernel: linear | gamma: 1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00143424910614684"
[1] "Iter.: 4 | lag: 5 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0022250835532912"
[1] "Iter.: 5 | lag: 5 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00156018875617239"
[1] "Iter.: 6 | lag: 5 | kernel: linear | gamma: 1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00156537369823341"
[1] "Iter.: 7 | lag: 5 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00239236328098691"
[1] "Iter.: 8 | lag: 5 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00156432382785292"
[1] "Iter.: 9 | lag: 5 | kernel: linear | gamma: 1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00153637436288706"
[1] "Iter.: 10 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00196441016590819"
[1] "Iter.: 11 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00142975043015107"
[1] "Iter.: 12 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00143424910614684"
[1] "Iter.: 13 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0022250835532912"
[1] "Iter.: 14 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00156018875617239"
[1] "Iter.: 15 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00156537369823341"
[1] "Iter.: 16 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00239236328098691"
[1] "Iter.: 17 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00156432382785292"
[1] "Iter.: 18 | lag: 5 | kernel: linear | gamma: 0.1 | cost: 1000 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00153637436288706"
[1] "Iter.: 19 | lag: 5 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.00196441016590819"
[1] "Iter.: 20 | lag: 5 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00142975043015107"
[1] "Iter.: 21 | lag: 5 | kernel: linear | gamma: 0.001 | cost: 1 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00143424910614684"
[1] "Iter.: 22 | lag: 5 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.1 | tolerance: 0.001 | MSE: 0.0022250835532912"
[1] "Iter.: 23 | lag: 5 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.01 | tolerance: 0.001 | MSE: 0.00156018875617239"
[1] "Iter.: 24 | lag: 5 | kernel: linear | gamma: 0.001 | cost: 100 | epsilon: 0.001 | tolerance: 0.001 | MSE: 0.00156537369823341"
