"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
12456,12432.1223777031,12335.0469238911,12858.6551379616,13548.5076227636,17369.7733111538,13010.5978529581,14809.8328438401
11267.8571428571,11884.2141255621,11237.94733184,11324.7230239834,11953.3943830078,15992.1210077405,11185.9928674854,12819.6205465425
10261.4285714286,10300.8146562692,10177.6427099543,10374.646724856,9459.61697658004,14555.5361211158,10041.983923018,10880.926491235
9775.28571428572,9430.67183483497,9308.75083266302,9392.64555223822,8853.30423888297,13299.1080349258,9216.82829525499,9174.13432334151
9418.85714285714,9169.29835570474,9125.51540576364,9069.5133736914,9356.99263556659,12374.7845027276,9064.07960439012,8059.48784527324
9208,8929.85291483132,8960.46819744386,8818.6665121623,8520.38020920148,11675.5278439252,8903.18892337737,7741.91184035369
9145.85714285714,8920.38764451023,8903.52810222055,8772.63876806622,8693.29302589957,11294.9500056817,8905.61965468384,7855.91715203864
9178.71428571429,8942.16980374129,8982.9017489357,8844.47101315131,8968.87124386932,11050.3151345324,8954.29011957986,8192.8726988747
9417.14285714286,9129.59396005859,9125.80586703426,9025.33475448376,8961.86745934607,10933.0711743874,9083.97042001287,8539.8268748465
9709.85714285715,9510.38807592572,9520.4698380398,9451.86322218903,9311.25216696983,10957.5704332122,9442.11503379402,9037.73068642332
9929,9859.31193182376,9910.35351851699,9822.54484247233,9474.29709214874,11083.7259115066,9818.67248084573,9490.65637154239
10117.2857142857,10106.549588041,10132.029911661,10043.2462582283,10082.6764600372,11306.5784288162,10084.6517205096,9945.52594372204
10484,10281.3666854101,10304.7883715097,10223.72255627,10423.5669950644,11539.2952132296,10269.8095804737,10355.5744359749
10914.7142857143,10789.3436633841,10761.2387915386,10709.305531052,10831.1274810866,11773.7587040592,10673.0038641322,10773.2239803246
11296.1428571429,11218.2782412589,11266.1587712586,11223.5501779358,11227.6518581918,12040.7570012127,11147.6316348641,11229.761735655
10731.8571428571,11599.4219798209,11652.8813639985,11589.0384721769,11467.3437992202,12394.7782710762,11579.157112702,11648.482686338
9934.71428571428,10418.0318125844,10593.1732689047,10498.1494834275,10516.8369602822,12555.5625094402,10713.3316683131,11569.3766037481
10130.8571428571,9608.12618067312,9474.41502105274,9484.61966892758,9681.17801421917,12461.797005669,9646.90371012404,11016.2203326679
10410.2857142857,10225.2804660192,10034.7654305829,10177.9458490454,10150.7079012098,12089.7136397873,9858.65827258144,10648.9408456712
10422.4285714286,10346.0244990259,10516.7477493474,10657.8225502483,10390.0893822977,11793.8013313285,10254.7470731962,10358.1011401614
11200,10567.3565954023,10474.6180719144,10467.0096814127,10145.3166186917,11927.3048423089,10471.8796068572,10202.4435985514
11714.8571428571,11681.2132893842,11644.7856924157,11440.0759523971,11429.0745822416,12243.5529315614,11528.7032971992,10641.7934835525
12992.5714285714,12008.7804790953,12186.0679148402,11980.2729568531,12215.4087941387,12521.9336122842,12035.7280223001,11503.4484700646
14482.8571428571,14100.5804955345,13911.701763169,13786.1011740164,13819.806969391,13297.094349407,13728.5029148275,12927.0299039284
14473.1428571429,15365.6418148808,15728.9809677079,15396.0608982838,15961.2851947093,14148.8763440081,15407.2326126056,14475.6448058713
14401.5714285714,14714.5669271566,15003.3540388813,14714.894613781,15596.8636106204,15069.1253912094,15159.0676844333,15364.8597135998
15200.2857142857,14850.681084565,14591.3390551166,14454.2299762645,14739.5425527959,15806.7520074404,14827.1254118567,16003.0619160618
15362.5714285714,15647.2279298999,15715.3755027006,15703.3178399264,14746.949150779,16008.4032430748,15514.8496204047,16372.7634095578
15777,15594.2927545258,15670.8485781364,15809.3515423885,15767.7878788314,16172.6128407745,15555.3623904997,16473.4197661139
16174.7142857143,16250.7027634534,16131.8569720686,16160.5749268203,15732.215740071,16688.61539256,16167.5053385964,16471.371181366
16582.1428571429,16423.9795469894,16540.7482676136,16339.5834023287,15800.3308648569,16952.0068543866,16509.3066433924,16483.9349038402
16696.5714285714,17018.6370589961,16958.2559688107,16889.0223176784,16883.6523279422,17332.8307321952,16966.4394305788,16966.3190282385
16763.1428571429,16821.2605188938,16919.0623959802,16849.3874182513,16893.7792256007,17639.6316001316,16971.5539126027,17412.3556055341
16135.2857142857,16916.2207042995,16893.9282151766,16819.9898942887,16372.9280813197,17886.1649893437,16974.1155160183,17358.1640825953
16422,15787.8076687525,15868.6501713774,15832.475393576,15952.112580344,17820.0449099001,16003.1264796356,17089.7855209311
16541,16711.8561785809,16457.844876361,16539.2787210095,16231.4671687629,17804.8253560918,16433.6119604465,16867.0481710775
16717.4285714286,16463.5198990651,16619.1189628714,16616.5152437801,16273.7428986599,17581.2329751253,16506.0802096625,16722.7712680754
16838.2857142857,16877.839400214,16844.2096351843,16837.0999462638,16462.5093761321,17774.1384639484,16898.2411020427,16636.4305752942
16851.4285714286,17013.6592434062,16956.5936760263,16790.8916884775,16973.1298218704,17894.2825500312,17008.161458962,16853.9574702439
16882.1428571429,16712.3304194334,16909.1958783541,16786.9759718024,16933.1239341793,18010.7517472903,16991.9298275099,16935.7438136282
18163,17196.9783008402,16923.0970727044,16886.4046032879,17457.9291140012,18083.4817407245,16972.0616963861,17274.1302288572
18093.1428571429,18821.5359401006,18882.2230069195,18818.217535944,18526.4373315616,18394.6537371051,18681.630097954,17878.9897078418
17999.7142857143,18027.8896466536,18365.1591317832,18177.2457285366,18523.2600134496,18637.2696878513,18417.5092422395,18287.4851843999
17817.4285714286,18296.0438912563,18067.4229436077,17941.9231407905,18155.0739425753,19230.1482614875,18353.9542561344,18499.2048476282
17551.2857142857,17595.9733093677,17751.4324237871,17584.6808522628,17726.3928607725,19159.2120884288,17820.8022231715,18585.1790985039
17401.1428571429,17461.7841507889,17384.9955731663,17487.9111609499,17435.2466732449,19025.5061619197,17430.4107217065,18261.8202913233
17239.5714285714,17352.4885346184,17251.7546855383,17359.6487883914,17285.6635958826,18849.0591495378,17256.221689447,18012.5071785138
16465,16923.7861697339,17091.5403640391,17061.5685075305,16626.2207406559,18649.1458955123,17121.4164372214,17255.6231676681
15994.1428571429,16107.6876467251,16008.1611256065,15958.033476124,16134.7346550525,18360.3024259068,16152.3137041714,16714.8456531479
15479.7142857143,15515.7943140054,15558.3800042055,15555.1802134923,15353.707125321,18021.2878245541,15652.3560729623,16138.1812613493
14969.8571428571,15103.0202293184,15031.3240786635,15038.5035066228,14701.9491338004,17430.293809289,15020.8196232574,15509.1401065247
14470.2857142857,14458.2611567445,14518.5647788544,14583.763089667,14218.7582378706,16969.789756572,14556.4086018432,14844.1527457322
14246.7142857143,14067.6037751621,14023.0452953739,14000.4974550744,13746.6252879456,16492.1990412899,14061.5218286216,14227.3926296263
14051.8571428571,13972.4658235418,13939.9242211283,13900.6954600096,13653.6124596929,16083.8710810315,13944.8571956796,13737.4981911268
13693.8571428571,13756.6778599663,13819.6536924656,13781.3981972307,13901.3835177057,15739.2481735633,13810.6836195006,13621.8491257514
12986.7142857143,13415.0938171964,13410.493016531,13347.1226194123,13105.3200955015,15497.752488071,13476.5095412234,13385.8989277624
12328.4285714286,12394.7886166432,12508.130980075,12426.6140166984,12319.6935323683,15163.8506237808,12628.4949184032,12985.1545699863
11707.7142857143,11889.5196954966,11792.4074385968,11784.4718856839,11655.649842347,14697.7190703721,11866.7791092892,12420.1674602429
11244.4285714286,11106.0369587309,11166.3595542421,11221.5950921106,10766.3876412475,14075.8985660473,11156.9846282616,11754.3006388772
