"Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP","DESTC","DESTCRI","cSA","cSM","cSVR","cELM","cMLP","DSLA","DESLA_m","DESLA_a","Oracle"
9929,9863.50957214788,9874.82949311751,9876.91928945619,9836.11955004419,9977.85496513909,9904.63671608038,9907.90540532885,9897.65161447067,9901.08239992424,9906.80201633581,9930.39955482984,9905.1193765201,9887.89256454509,9898.97522101478,9902.06004828475,9810.10921100209,9883.96530911785,9879.41038069314,9930.55606932369,9972.41502765192,9809.91350156073,9819.31860704386,9852.76192723438,9867.72540455617,9865.09821422791,9780.76126715545,9848.88239082233,9881.4948607736,9889.41464385475,9899.13459239062,10054.4760559225,9925.71777427932,10029.7226369732,9625.16610858718,9878.34259371315,9670.49691294635,9804.66774957928,9788.19330853982,9744.69671026644,9844.08562717604,9558.43913558513,9985.15957902991,9880.10195779836,9695.31103929363,9811.51816600766,9859.31193182376,9910.35351851699,9822.54484247233,9474.29709214874,11083.7259115066,9818.67248084573,9490.65637154239,9910.82015619733,9876.46210800131,9869.70327700107,9878.34259371315,10574.5910469329,10085.488447515,28541.6340123616,9848.88239082233,9881.4948607736,9869.2523149179,9930.39955482984
10117.2857142857,10096.2484476966,10109.8050091287,10114.266785606,10104.4281571351,10156.321412727,10140.5827108711,10142.3044934618,10129.1633415261,10134.381332801,10141.6064679229,10138.4328676314,10138.2886087621,10123.1311611417,10133.4618126151,10132.3930869803,10064.9924957264,10088.577124675,10128.7423196304,10151.626057109,10215.2181182855,10080.0789088699,10096.2240502641,10109.0583015619,10112.2547069895,10107.2064035847,10084.2333471993,10108.3022728098,10104.5692113139,10142.8087306772,10125.4635758945,10440.3869632112,10275.9953990914,10232.0314861084,10272.5950162847,10153.2428077467,10086.6896041321,10225.7841701435,10200.9127882086,10155.0193137503,10225.6432912487,10052.1291654197,10293.5305366927,10168.8447904033,10023.4935929185,10092.7791999578,10106.549588041,10132.029911661,10043.2462582283,10082.6764600372,11306.5784288162,10084.6517205096,9945.52594372204,10210.5294239206,10119.289749851,10159.9658688085,10129.1633415261,10482.6016195732,10695.5626456594,31104.9758436442,10108.3022728098,10138.2886087621,10142.9242766925,10119.289749851
10484,10297.8668010927,10308.4696290278,10314.1291754456,10326.8344415027,10332.8168229137,10343.6974867489,10349.1018633315,10342.6226688105,10352.5096656869,10361.2813549604,10364.1555399172,10347.1673602983,10340.9208547997,10353.2400608948,10350.7850573842,10266.78932723,10263.7952224651,10336.0037293968,10294.0001644566,10333.331965566,10265.1173774551,10303.1695136324,10316.381887206,10320.8838049412,10314.0353799781,10256.0733649948,10311.748833893,10287.8721561005,10311.7469872703,10294.409186146,10496.3014887124,10384.3683384172,10327.5565337911,10444.5180203717,10392.6915525001,10186.8951849074,10322.5073013525,10345.7503133009,10329.5234908611,10369.5144656747,10236.121893191,10372.6467056625,10293.2218837462,10236.8231654535,10251.4523471826,10281.3666854101,10304.7883715097,10223.72255627,10423.5669950644,11539.2952132296,10269.8095804737,10355.5744359749,10349.1592515321,10301.3275863012,10346.1001452061,10326.8344415027,10803.374846205,11202.9251291372,32981.175478317,10311.748833893,10331.4277282135,10321.365891289,10496.3014887124
10914.7142857143,10759.9065782277,10768.2053244945,10775.9645993741,10771.0550717475,10838.6883284324,10821.8934289373,10826.2562112484,10826.2611761383,10828.766339616,10839.0794327326,10864.2919692061,10826.2572313051,10829.3492111869,10823.150649048,10836.2175279729,10759.6047627869,10757.3744250692,10787.1049702787,10759.1271323486,10767.5323547285,10783.731905644,10832.475866942,10846.1507247135,10860.3827875272,10844.1229626947,10741.4145857998,10843.6133939877,10816.9114107377,10842.5882516284,10820.2386297367,10792.8434128632,10881.8451643584,10821.844564496,10918.3179464464,10923.2389180998,10723.8474403879,10822.2021056951,10878.0386030715,10863.9986702505,10895.1233627638,10789.888951811,10841.179165736,10804.3895511805,10804.5293443883,10799.2507390155,10789.3436633841,10761.2387915386,10709.305531052,10831.1274810866,11773.7587040592,10673.0038641322,10773.2239803246,10751.7303134598,10782.6541313791,10831.555894553,10822.2021056951,11274.2921589395,11767.109610712,36633.4577694487,10843.6133939877,10834.972752676,10820.6977810232,10918.3179464464
11296.1428571429,11206.1724744357,11219.6433493834,11232.4762240147,11213.1299961977,11292.3836041405,11225.2449153153,11247.4329305756,11231.3706749861,11232.3073190747,11238.2783721279,11268.8175020114,11231.2685556846,11237.53193146,11219.9954489899,11240.1357445134,11209.1533523012,11229.9806663326,11226.0530127596,11199.572288156,11213.8751629983,11228.8842192999,11245.6244328388,11255.217956743,11264.8384653735,11243.5423724973,11199.8324976596,11238.0965992442,11206.1468155446,11239.1532943649,11212.9023280245,11360.2139317652,11331.9135607282,11283.3878103551,11369.9885133565,11276.0855482265,11169.0127688401,11281.2443759817,11318.7024886869,11301.8417282933,11306.0536020327,11240.3767711959,11284.4322218608,11239.7248518324,11230.7851724919,11244.9230770627,11218.2782412589,11266.1587712586,11223.5501779358,11227.6518581918,12040.7570012127,11147.6316348641,11229.761735655,11283.3076269865,11246.1058920091,11261.4777622686,11238.0965992442,11875.3482089358,12346.9557306521,38261.9607642117,11238.0965992442,11235.2019591595,11245.4827816725,11292.3836041405
10731.8571428571,11599.8628022659,11616.4543830845,11629.6924521802,11627.5534696365,11602.416612608,11629.7911643839,11650.0126592386,11633.9996396563,11636.8106654656,11644.5576108969,11644.8227549538,11635.9037994178,11649.9337308634,11632.7276468232,11645.6795843523,11592.1738450487,11604.385508957,11629.9803512902,11579.0669962779,11624.8934299369,11614.4550259491,11646.1443458592,11638.2259015959,11645.2786852292,11621.0324775755,11638.6674143443,11633.0058106546,11589.0327432499,11626.6188465443,11592.6665997257,11707.7565757286,11639.839692324,11647.389812842,11693.2167273303,11635.945397027,11535.497339419,11622.5331164176,11662.2631733319,11648.3792120933,11629.8995411873,11587.1481037661,11617.7382804558,11606.2622669701,11574.155826677,11611.844520789,11599.4219798209,11652.8813639985,11589.0384721769,11467.3437992202,12394.7782710762,11579.157112702,11648.482686338,11649.8921373013,11641.7450846491,11637.3913221077,11629.8995411873,12622.317765721,12900.8475030974,39145.183628249,11633.0058106546,11629.8453527856,11624.3659869082,11467.3437992202
9934.71428571428,10482.7634096468,10501.5124278598,10506.2643874936,10602.4680519715,10478.8055436948,10387.7544424354,10423.9196609807,10382.3643601298,10462.8687432904,10475.8655913452,10389.7824599558,10396.320527378,10429.6823138468,10507.0663773337,10419.7824120538,10473.5452138462,10392.1036171356,10487.2804914594,10442.9180682038,10409.0592360542,10418.2407147,10394.3367488726,10422.6599128264,10412.1495550429,10439.031638136,10501.7757969325,10398.1175777699,10495.6510846729,10365.2388915667,10397.2808521335,11032.6638770136,10490.0283590873,10477.625371629,10536.1951783395,10403.1809966785,10265.1779780763,10476.0361956562,10474.3880922939,10403.2716488533,10425.1747968479,10456.7607365496,10476.8771991582,10415.0338018561,10469.1165019232,10480.8719305949,10418.0318125844,10593.1732689047,10498.1494834275,10516.8369602822,12555.5625094402,10713.3316683131,11569.3766037481,10707.9955431153,10482.4529315442,10528.6414053016,10462.8687432904,12275.3203188073,12179.7596248667,42010.2959753752,10398.1175777699,10423.9173548372,10440.7149766549,10265.1779780763
10130.8571428571,9588.14369667215,9580.50029593138,9560.53884240143,9673.07063914804,9577.50072530883,9732.64613904361,9617.42147405717,9616.19484687829,9743.22904786856,9734.88441166258,9640.38964218506,9611.48041456706,9676.60278063182,9798.00754644234,9610.39107051127,9656.38531576336,9672.284883171,9572.29917354845,9679.30037841816,9478.96569082045,9704.39248251484,9753.33516883654,9835.91458991017,9835.67014321329,9901.88192773408,9832.72112516345,9889.45913438976,10176.1534646255,9798.86104719077,10005.6907242624,9923.38914912668,9625.43785335174,9684.27156479906,9650.2041543307,10096.8776082537,9646.44552182982,9805.44735913651,9825.18860546655,9686.01361817179,9727.67882347024,9920.6893248777,9742.46810089556,9776.4737233182,9965.05656340435,9984.90539485709,9608.12618067312,9474.41502105274,9484.61966892758,9681.17801421917,12461.797005669,9646.90371012404,11016.2203326679,9627.47461303567,9648.38747897421,9811.76432205535,9704.39248251484,11467.7532309671,11095.6534619154,43835.9098479233,9889.45913438976,9737.55711996958,9735.28800283157,10096.8776082537
10410.2857142857,10150.3544590884,10127.5796265568,10112.89568271,10162.113201748,10220.2128833435,10264.4233545595,10218.3590054243,10407.4601848605,10393.7783861756,10421.3995051938,10531.314702932,10418.6339947053,10477.1200296952,10357.7789962243,10373.6276819826,10197.9403772282,10317.865226525,10101.9643551748,10048.3104180608,10058.6860322653,10267.360349275,10290.2986189541,10457.6721996585,10480.4214148418,10495.2487160252,10102.7921968253,10400.056187216,10480.1669442,10531.1881737827,10601.096135214,9734.63362732361,10252.1000472424,10118.2385408358,10334.0460253489,10697.3721484478,10154.5828685866,10361.756573784,10352.2465043908,10383.2708439035,10387.0496423614,10500.2974437729,10376.0298620177,10474.1179273808,10253.8517322903,10449.1244353241,10225.2804660192,10034.7654305829,10177.9458490454,10150.7079012098,12089.7136397873,9858.65827258144,10648.9408456712,9939.52412197475,10164.1501540669,10339.8528472405,10352.2465043908,10698.1360376894,11766.4754296324,47286.9441960544,10400.056187216,10390.4140142685,10342.9726971262,10407.4601848605
10422.4285714286,10297.4792480046,10307.420798437,10302.6477754994,10364.8677641785,10565.5621552992,10149.9749573544,10295.1211460304,10302.3983603944,10254.778449525,10263.8469920597,10411.9693604407,10266.7393789034,10247.0494625698,10259.974141214,10199.286152055,10377.2211489111,10461.8797383348,10262.113107109,10377.3804337648,10864.0939510087,10463.9711626763,10363.5817167366,10435.5901883381,10419.5238775111,10358.7961866653,10493.478133319,10357.3973801075,10311.1526964078,10483.1807647079,10465.8304275458,10363.8876513921,10399.1003722284,10315.0749022553,10364.413870282,10199.8563857177,10336.27532813,10319.6356503346,10300.8769934654,10232.9258212307,10288.1001274843,10459.5989122117,10318.844942287,10448.1557810913,10321.9189293891,10290.1604273482,10346.0244990259,10516.7477493474,10657.8225502483,10390.0893822977,11793.8013313285,10254.7470731962,10358.1011401614,10321.5530745381,10354.956075209,10391.4311299521,10357.3973801075,10861.5883773868,11835.7559250328,50540.6324215155,10357.3973801075,10314.9988193474,10373.0168079356,10419.5238775111
