"","RMSE","MAE","MAPE","R2","WPOCID","Theil"
"X1",441.543450089377,263.97598698441,1.15451588228504,0.999630630787666,0.048,0.102682766712786
"X2",437.246485967886,257.399569829461,1.11077476536524,0.999623220454186,0.048,0.100260831302043
"X3",520.782134166827,282.621188280111,1.18850540990127,0.999447793861947,0.048,0.142949657802757
"X4",414.554207734641,254.356440668018,1.11103127710248,0.999649738204138,0.056,0.0902664738061305
"X5",508.301852866281,292.624780249106,1.27477468768113,0.999644319040044,0.0639999999999999,0.130581020320457
"X6",1735.36769818821,618.550779415358,1.74710881874905,0.995932185879769,0.088,1.23013761731067
"X7",877.874941035499,387.108949268521,1.36902878812762,0.998649412881784,0.088,0.291645261709173
"X8",1292.27433401746,467.657384948052,1.36181699427515,0.997397329138094,0.072,0.619947084609548
"X9",790.095040882947,323.58734962537,1.12446922822514,0.998423303072456,0.0639999999999999,0.213232682626977
"X10",800.73426790993,322.262140807043,1.14633014139117,0.99849383549159,0.0639999999999999,0.209968604585146
"X11",1456.87686249833,509.272405676823,1.42876620084445,0.99665996912998,0.0639999999999999,0.786484231367914
"X12",1982.90152179046,640.775140050651,1.65190258560637,0.99319457120332,0.072,1.48746521044036
"X13",1393.40248671066,489.014902118909,1.38442275766861,0.995513934248058,0.056,0.695711654599204
"X14",876.319013095278,388.222083107784,1.26226265234138,0.9983301612868,0.0639999999999999,0.30436297165684
"X15",1621.45732916342,663.627143587065,1.86339424909198,0.998338556200036,0.072,1.36295692285952
"X16",440.679340376889,267.238085656682,1.18994198182866,0.999634609068254,0.056,0.103030137178309
"X17",402.129483373052,234.391665383567,1.11682638719874,0.999598323943026,0.0639999999999999,0.0861439700670879
"X18",369.93236431484,240.870605725129,1.15622198311702,0.999685967253196,0.056,0.0703986726388001
"X19",474.056931915524,270.713422449569,1.32555126346662,0.999371338588426,0.072,0.120242536595346
"X20",553.150034356801,314.229457451019,1.38641617529922,0.999380647900935,0.08,0.162631976092668
"X21",1437.05371635488,591.976167574073,1.60555932780547,0.998258197202011,0.04,0.903817920094615
"X22",1409.97296437906,530.442346870827,1.51550294905608,0.997224057703856,0.056,0.79728124320915
"X23",1045.01082167677,469.213898993838,1.61948380693684,0.996690998900891,0.0639999999999999,0.417296593673483
"X24",1091.82945244857,428.320355125796,1.55476332547608,0.997175738254631,0.072,0.394750012930048
"X25",957.99741878643,390.962367244063,1.35136837581323,0.997581657082984,0.0639999999999999,0.328755511758028
"X26",1711.96490143472,610.453420904417,1.7587643337231,0.996163808045109,0.096,1.14235716247216
"X27",693.143694362995,362.838943734142,1.43046147612969,0.998525525743847,0.056,0.221468892094981
"X28",846.100368414714,427.212326660004,1.60035498408074,0.997995376148383,0.088,0.326604948350962
"X29",4505.20031737949,1568.25927213113,3.67927317289539,0.989189977705501,0.088,9.86331295337308
"X30",6075.18680541969,2000.69079668239,4.17029061648336,0.982547558355947,0.088,17.7288991878544
"X31",733.36013720556,471.927360123383,2.0872969356827,0.999144560628991,0.08,0.283625955358074
"X32",549.032644873331,309.846827345089,1.24894505188828,0.999597479910113,0.056,0.158173175382138
"X33",459.367890158178,271.711784296662,1.18913468660576,0.999602175139837,0.056,0.107265194163097
"X34",802.779310054595,435.416610318204,1.71722602111045,0.999068662859334,0.0639999999999999,0.333772645735145
"X35",611.230781691091,313.145130281833,1.3480027847453,0.999108864399644,0.08,0.199723902839709
"X36",2801.57843487505,986.954051607852,2.73592296955757,0.990387346197964,0.104,3.17629112528774
"X37",652.107572369626,336.614062679468,1.36609170226735,0.998954083017129,0.072,0.168836934494599
"X38",1488.72642760008,682.978056377315,1.99344867320774,0.998334097488202,0.104,1.08968079311631
"X39",1431.55254184705,698.38401639329,2.23237846910179,0.997078905340407,0.08,1.01083632309965
"X40",1057.87025899325,525.59882336857,1.76117059546416,0.996728858704932,0.088,0.582137422586563
"X41",3775.13179351232,1274.17710910392,2.69356627987631,0.984876831538993,0.08,6.17752346057167
"X42",2035.21896401365,812.132134988042,2.20282526604875,0.995854082585494,0.0639999999999999,2.04902130227335
"X43",5013.58660538334,1608.21103278227,3.7758721962095,0.957848515593909,0.12,11.4635960641548
"X44",2468.38147296085,961.484682796621,2.66156903234926,0.98815292223715,0.088,2.76330977727256
"X45",2343.45845493355,1026.21857323378,2.90144571287568,0.991729541366578,0.112,2.85772404982168
"ARIMA",451.65553211395,265.132532130926,1.12785003864571,0.999645690818649,0.048,0.107275734001225
"ETS",419.918056596762,243.722775020129,1.06027559835152,0.999652159051477,0.048,0.0926113814680523
"SVR",372.791526810032,227.659202523564,1.1375847889878,0.999663993374252,0.0639999999999999,0.0737921107802652
"ELM",320.535404108432,228.003720449621,1.29528170229461,0.999742227867942,0.056,0.0547261037245077
"XGB",5177.96411399081,4926.40148184155,38.9954385736426,0.991055130592265,0.04,14.277309984754
"LSTM",2629.47251797146,2504.54950089395,15.9872003456867,0.999588033597529,0.0639999999999999,3.55696705579821
"MLP",3069.00402074651,2340.8358578476,11.6849263863939,0.979365656792375,0.048,4.87113010223385
"DESTC",369.802192120161,226.970500871173,1.02280395496704,0.999700661410787,0.0639999999999999,0.0726042070660653
"DESTCRI",390.518711891044,232.438961642069,1.0200307450226,0.999682283178495,0.0639999999999999,0.0811305919858079
"cSA",573.464977258967,298.811408999963,1.21611156376241,0.999251101639477,0.0639999999999999,0.129285014781674
"cSM",631.689886141078,288.972156077766,1.07001801879939,0.998993463670277,0.056,0.143432463172857
"cSVR",49133.569551025,37852.3615849784,404.319129697963,0.00203750905829734,0.704,1290.80112900368
"cELM",9206.21714170321,6633.52649618992,36.9940369815389,0.931899670976108,0.328,42.8666316946434
"cMLP",69567.0677433146,53323.3313747324,357.605727007874,0.152792626856658,0.424,2588.04741307127
"DSLA",2629.47251797146,2504.54950089395,15.9872003456867,0.999588033597529,0.0639999999999999,3.55696705579821
"DESLA_m",667.698001190634,329.333869465007,1.23037146531967,0.999097782300828,0.0639999999999999,0.182519478155786
"DESLA_a",469.628362160211,325.676314103068,2.01329165342178,0.999496357817649,0.0639999999999999,0.113831763391324
"Oracle",49.9058203243348,23.3180080915662,0.0999975738244937,0.999992443654935,0.024,0.00131663542821911
