"Target","ARIMA","ETS","SVR","ELM","XGB","LSTM","MLP"
80093.1428571429,79992.2100183697,80089.1820877824,80104.2372436328,80521.867166003,70195.4629609244,73892.4914829192,67413.6253690265
81856,80681.1740034772,81719.5229505475,82176.140212774,82393.6926066,73258.0530946709,76118.3950695651,70441.9070999509
83035.2857142857,83138.9146446308,83398.6471589727,83436.5525941036,83638.7594953181,75505.9739311366,77055.0753323493,72982.6418320451
83799.4285714286,84089.0644133024,84199.2995411429,83975.2651911669,84024.1191142986,77137.2627136934,77822.4059898201,74749.1705623666
84558.4285714286,84552.2706423659,84601.381807604,84469.5804494514,84386.4998286772,78226.9954693715,78127.6787297754,75976.7580083126
85908.8571428571,85214.9919720288,85252.1173215173,84752.3664037809,85025.423821481,79032.7584940876,78828.8210004114,76814.7860860087
86678,86864.4751424096,86930.2399294422,86956.7320235394,86835.0364539269,79882.0343121006,80435.3908395881,77533.3247788577
87025,87403.2955241101,87441.662415481,87156.7748259636,87159.3842838506,80639.3904411622,80623.0374316346,78132.2188171148
87032,87443.7661637549,87457.4266077528,87143.1303986943,87033.3133323352,81378.499269809,80919.3169479682,78797.3695608945
86624.2857142857,87166.2187966323,87161.7848415226,87115.8961143319,86928.9331961159,81719.2231979086,80605.9515489113,79330.6031294493
85772.8571428572,86439.2323495992,86414.3815526909,86141.16990999,86017.5256888724,81710.1492340196,79971.1094593264,79462.8618981129
83956.4285714286,85241.5913185072,85194.8884672276,85007.2777899774,84742.2072196384,81361.4258086653,78832.8518029877,79314.3184386094
81609.5714285714,82780.5593045676,82685.6443960503,81956.4473467264,82098.8058690454,80468.4508736616,76438.9277200443,78778.3707549146
78899.5714285714,79938.0013843295,79815.484098784,79283.9352845056,79187.856048996,79075.774424201,73972.8156273252,77847.795698498
75965.4285714286,76871.7067615868,76733.0456561246,76457.5975309951,76180.2877407199,77119.8166051621,71082.8047095849,76428.7047600434
71950.2857142857,73701.9838300695,73554.671033166,73163.4294565366,72903.6540123977,74835.6433886687,68183.0242194987,74556.3193284727
68383.5714285714,69012.1332285227,68812.262798977,68165.334758745,67991.7137242126,72026.3789490404,63608.9514383219,72256.0912203618
64974.2857142857,65484.9169676822,65306.5576683165,65062.6138678855,64639.1478584406,69101.5938192436,60785.8431482429,69770.2226053079
61237.2857142857,62175.5056945494,62010.6809614513,62064.18472045,61553.595686078,65906.8505002601,57404.6953951716,66939.8973774881
55647.1428571429,58287.2704000716,58107.6424364022,57669.1923499515,57283.4151630859,62798.1390415033,53805.7538763937,63889.5735535849
51215,51619.1025666454,51344.0616234447,50566.8867073228,50486.5345870187,59083.0371212079,47312.1371367403,60603.3639333049
47087.1428571429,47495.6969797194,47274.1217115164,47255.1853189601,47080.6251324478,55315.1124337145,44235.0385980351,57202.3540744725
44789,43633.2054312698,43436.4091667973,43871.4239147692,43798.7851710831,51159.7711004501,40048.5004676353,53189.1528764339
42720.8571428571,42435.572098529,42333.4731782879,42563.8764692306,42593.1245144962,48088.9889349654,39370.5679184596,49412.5765587574
41334,40837.8754241258,40752.1947395185,40990.0013106119,41122.5673934233,45516.4052728074,37281.0967512187,46313.1874954814
39730.1428571428,39976.4458167791,39920.2907784147,39571.5690245376,39760.1181678326,43878.7939062402,36816.5669393653,44010.3260124978
37393.2857142857,38415.3837121894,38345.8466833241,39014.0817106376,38131.3091383862,42365.8703555777,35052.895172349,42293.6450810631
35203.5714285714,35684.0549605137,35572.4018432192,35235.7087419792,35000.1700915037,40822.0667580593,32568.175553407,40614.7381731556
33337,33453.4368923676,33345.179929927,33652.3564894963,33005.9131716727,39121.6456743053,30588.2751397122,38987.4926147546
31612.8571428571,31753.9098325762,31663.9735742796,31600.1270256814,31425.8231300951,37281.3141288615,28882.4755119965,37074.3147158169
29987.8571428571,30160.990247521,30080.1703546128,29940.3199926714,29687.2311807234,35598.2025162634,27298.1651434416,35057.68990207
28850.2857142857,28631.9844719112,28556.1167260614,28455.023499809,28211.5744832558,34092.0859912151,25828.0960423577,33254.0454919395
27306.4285714286,27795.4585992759,27743.8098943264,27772.3426709859,27532.9488621142,32814.9799182415,25093.3316611719,31700.8201263036
25571,26119.2611137255,26047.7543544138,26069.9858296667,25725.8007975489,31521.8872723381,23327.4643799634,30167.1680647035
24428,24236.0698876855,24151.7456766996,24119.1502987729,23729.2804173894,30276.4251733649,21696.4923476861,28747.7790083388
22966.7142857143,23376.6703552262,23321.8192989464,23642.1282721215,23207.3475354018,29043.1238008085,20940.1672097303,27424.7565664181
