"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"11",43131.42857,42834.23281,42888.88138,43140.32268,43096.28114,43281.05315,42744.53713,42769.16631,42666.44071,42646.3049,42693.32165,42589.01628,42727.57102,42830.73583,42761.2419,42887.22531,42631.85321,42842.50581,42655.31694,42931.26416,42758.2841,42318.86639,42730.04128,42685.95224,42839.8259,42785.11337,42531.4706,42680.08326,43135.68153,42897.52287,43187.25339,43908.83933,42400.88089,42087.021,41842.29472,42245.93698,41657.29951,42153.55194,41842.83307,42273.49609,42322.49558,41708.13886,41758.558,42058.14701,42229.88431,42965.28902,42659.90441,42504.20765,42768.52488,43078.71321,44578.02201,42960.38003,42029.12261,42368.2621566667
"12",39330.85714,43607.0466,43670.86536,43711.06976,43734.9706,43487.37472,43521.98486,43626.67905,43379.71399,43462.20854,43317.35976,43361.74709,43326.65777,43272.70482,43241.60729,43342.0561,43497.46127,43690.57684,43619.75301,43780.26951,43506.03528,43463.08631,43488.42996,43391.20771,43623.81857,43543.65674,43408.28444,43497.30303,43550.92002,43634.34473,43648.90767,40191.9112,42683.00797,42294.12339,42561.22032,41993.06733,40896.05167,41307.36907,41735.22095,41972.98987,42150.42776,40269.60404,41827.59394,42171.81004,42015.33579,42854.11698,43256.50474,43131.36583,43157.6553,44082.42427,45356.96462,43604.17667,42534.13977,43066.2071433333
"13",42284.57143,38678.75042,38638.57475,38752.23622,38662.27454,38129.18235,38663.84977,38768.54706,38580.25743,38655.61238,38596.46231,38635.05416,38573.19043,38634.4747,38738.34548,38595.49545,38864.1485,38761.94558,38988.78748,38574.86269,39041.82128,38866.73515,39329.92906,39220.12475,39302.24117,39444.9056,38766.90269,39594.75039,39017.71224,39573.09708,39491.68497,40166.62476,39638.6608,39585.85661,39451.1816,38959.93095,38582.39825,39061.92031,39243.35537,39408.32448,39791.3747,38262.3094,39373.62902,39526.82003,39240.85735,39420.40225,38572.87844,39331.23729,39588.55802,39154.14952,44746.1767,41388.02997,38080.7752,39274.7467233333
"14",40550.42857,42726.62962,42637.77683,42316.63162,42481.70087,42211.8313,42376.48609,42564.54364,42354.56663,42467.93119,42262.76291,42216.55543,42274.15702,42048.33462,42033.67315,41445.8896,42379.16123,42559.63529,42812.9479,42252.83834,42814.16059,42623.43731,42379.77,42241.17733,42579.9627,42225.59507,42443.08442,42244.74172,42721.81718,41948.96116,42109.32721,41451.74555,43160.25247,43141.94232,43349.05838,43810.53777,42888.11135,43528.92733,43336.65119,43178.66508,42405.77221,42594.45215,43271.5946,42782.51742,43219.66622,43322.08695,42873.65456,42284.27602,43174.52012,42086.15936,45209.61994,41567.43851,41742.08432,42815.8316633333
"15",36576.28571,40394.39543,40326.69322,40481.62147,40471.39836,40273.91725,40184.98797,40495.11858,40463.23207,40389.01077,40398.69764,40405.22634,40409.04426,40173.19997,40202.83473,39749.19868,40398.36626,39953.75287,40345.31124,40012.4811,39868.14702,40411.8116,40212.57579,40313.29189,40254.17384,40006.48038,39661.4762,40326.26445,40124.1234,39982.30703,39499.40619,39363.5062,39656.03421,39570.76564,39050.34316,39019.26727,39095.59629,38754.32191,39039.45878,38865.39813,38900.31317,39842.68718,38797.82066,38799.5622,37811.01481,38341.23942,40204.57443,40550.602,39989.04101,40874.0438,44124.11189,41142.83447,39576.81422,39740.23141
"16",35480.71429,35132.01447,35333.64354,35331.31603,36060.15486,36906.88326,35213.45389,35295.44939,34841.05126,35142.55031,34731.20553,35013.605,34977.98757,34610.26383,35295.84548,34930.43273,35346.76578,35214.95634,35158.05675,34670.02041,30528.50984,34736.66182,35262.00676,35010.72399,35033.1236,35142.83869,36578.49179,35090.96019,34861.22877,33736.37412,34231.00212,38077.4952,35335.6454,35344.48866,35377.39464,35866.51738,35947.43132,34918.46577,35017.39479,35165.70376,34349.68416,35853.83263,34905.4004,34851.80879,34545.85422,33679.43109,35783.69026,36576.68325,35505.35427,34422.97863,43665.8001,37715.03298,35433.58711,34703.7864366667
"17",35332.57143,35232.10788,35089.56636,34861.60662,35363.43077,34756.27977,35110.16589,35021.58864,35108.514,34835.18802,35058.40395,34726.01817,35032.04975,35468.39644,35261.76945,35495.9238,35061.31522,34797.76306,34431.61104,34659.03368,34410.21014,34839.94168,34561.8785,34370.60776,34323.07905,34066.19557,33746.78747,34537.55688,34885.31234,35063.7839,34701.56916,33061.36762,35164.33426,34760.5906,35057.74082,34870.26439,34108.26908,34460.55077,34925.26718,34119.01953,34489.12297,34248.60169,34367.88067,34854.85574,33919.96496,34964.26483,35262.21561,35480.82391,35305.01062,35088.81632,42409.29509,35308.43132,34503.52805,34258.8627933333
"18",36775.28571,34993.82091,34957.73143,34960.58716,35338.22064,35290.28729,35079.40113,35199.69347,35074.99857,35061.0002,35020.85648,35167.15806,35018.40618,35010.13698,34975.69887,35014.85026,35215.56419,35529.37203,35711.73298,35483.87296,35921.50528,34959.09475,35388.51327,35501.92596,35420.05657,35421.59976,35608.63313,35353.48435,35111.50518,35900.94561,35826.7753,32876.96314,35031.6398,35384.66044,34972.31358,35157.41771,34686.11477,34996.06005,34835.94494,35151.00963,35197.7706,34812.68093,34997.40196,34912.39494,35263.89637,36540.35148,35303.0261,35332.58626,34785.17837,34446.75255,41154.23427,35050.06921,34545.34395,34527.8822633333
"19",39621.14286,36628.22436,36753.70306,36639.01738,36995.82681,36557.41378,36451.39986,36556.49165,36671.95732,36590.82856,36581.22802,36698.31679,36569.99008,36651.12906,36595.40158,36697.35125,36420.54316,36359.07034,36205.77748,36481.53377,35726.04115,36433.11089,35872.20019,36379.29414,35746.01022,36400.67787,36229.28652,36034.17109,36554.30561,36115.19544,36927.47952,41099.07424,38026.03411,38135.92433,38299.9043,38012.37811,39000.29328,38274.81929,38291.39134,38268.50629,37944.00128,38475.23692,38251.60408,37921.49555,38030.14645,37799.76684,37063.01789,36775.14141,37565.40087,35814.32984,41127.61682,35448.7702,36363.05468,38130.1720866667
"20",39852,40210.62448,40255.86125,40351.53512,40550.56124,40291.05229,39966.62043,40004.81872,40193.31926,40043.65405,40096.47633,40061.60877,40057.93799,40291.85464,40315.80368,40523.63184,40140.0082,40324.77705,40435.19626,40314.09798,40837.15122,40498.64569,40445.96831,40270.58652,40319.61811,40546.2985,39690.9048,40344.98916,40067.97926,40801.2313,40306.10629,35208.71804,38557.14035,38681.32269,38789.31794,38871.75719,37788.40778,38364.15377,39136.02466,38964.56638,39166.03982,36900.19404,38657.80287,38398.33089,38321.03062,37015.86761,40188.71517,39620.85818,38663.93731,40022.31978,41930.34998,37943.0635,39530.15494,38236.60219
"21",45439.85714,40060.65464,40129.72451,40418.12199,40369.55035,40304.3372,39969.64663,39991.5035,39979.84478,39927.6602,40037.58825,39965.16973,40119.79294,40162.05631,40233.60384,40285.37068,40302.95894,40567.86431,41024.39849,40343.52639,40958.67583,40370.94746,40546.28677,40048.15297,40253.71567,40126.0354,39916.00538,40238.29967,40173.56656,40202.48803,39913.20959,40564.64708,40974.58172,41090.57275,41673.87054,40555.57302,40205.65542,40569.5044,40578.38121,40912.38929,40544.70844,40119.33467,41778.45152,40999.69479,41313.68936,42322.93409,39898.04171,39851.97688,40619.79424,40366.47146,42730.62496,39793.21832,39488.65783,40714.3723833333
"22",49970.14286,46834.38795,46914.52309,47099.09352,47004.7417,46453.45618,46642.88936,46778.58581,46667.75169,46583.34643,46539.7877,46110.7138,46319.00443,46606.55397,46537.59671,46083.63466,46620.10734,46345.34586,47275.13795,47207.02277,47947.64499,46727.86362,46431.32128,46737.89099,46822.81339,46946.75445,47306.69586,46694.07543,46831.83908,47137.81241,46326.75144,46163.66393,48567.06264,47558.24663,49285.91975,50097.36697,48848.64032,48459.47481,48786.85286,49194.21023,49556.6086,49174.85249,47393.0309,49012.76896,48962.39715,49130.6136,46554.28869,45439.29821,47607.81969,46771.0999,44965.46148,43969.0009,45615.31906,47239.7095366667
"23",52636.71429,51649.09816,51744.1025,51592.70274,52230.43773,52191.44413,51271.67573,51439.3698,51426.57108,51416.49696,51145.42268,51387.90895,51357.71297,51514.93443,51964.52568,52095.08107,51503.86612,51048.1393,52043.05228,51799.36793,50512.45544,51054.12562,50746.88452,50953.15562,51186.38729,51056.20202,51987.1982,51356.91686,51149.88055,50309.63971,50216.01083,49932.93279,51232.85341,49086.08876,50349.81151,51288.32064,52017.15176,50839.94479,50579.44914,50995.7639,49804.84553,53067.00375,50371.20691,50903.64251,50526.35422,47143.96203,50873.65438,49969.68966,51211.03343,52591.97632,46933.89304,49242.75143,50077.64062,50552.1405533333
"24",53492.14286,53556.50807,53713.42289,53663.41804,54276.87685,53726.91918,53734.00495,53439.48647,53672.3032,53356.68323,53766.8009,53229.63554,53783.8696,54493.82602,54144.6738,54148.20804,53510.70475,54051.79025,53954.49218,52818.11578,54181.00825,52751.16844,53132.15021,53114.6587,52976.73729,52666.84292,53419.61075,53208.37908,54149.40794,54185.64974,54167.62553,55116.48131,53542.19715,52310.2491,52273.68675,53868.96132,53279.82728,52418.81344,51902.10339,51958.23744,53496.71364,54288.22133,53162.59073,53135.4887,52396.57936,52468.29244,53168.5302,52636.44752,53631.88395,54077.03351,49743.86623,52827.18106,52527.65983,54309.79117
"25",53693,54442.75614,54745.13575,53964.81909,54954.56168,54427.52488,54586.53797,54669.87935,54099.03298,54548.66791,53953.35284,54430.4303,54108.00472,54219.93373,54013.57914,53992.66083,54245.79695,54141.93368,54619.25641,54918.96223,53827.58288,53194.47654,54054.65644,54060.59743,54384.77679,54166.64239,54681.1525,54114.47973,54521.1484,54557.97001,54798.91221,53580.39931,54216.13338,53284.5713,53664.44183,53366.89608,54537.99289,53298.40576,53524.29053,54094.04968,53725.88684,54323.24174,53431.62028,53292.10097,53871.29524,54242.25211,53662.7479,53492.05727,54501.47092,55622.72294,51614.75424,54395.18322,52854.07505,53661.36066
"26",55446.71429,54249.79089,54396.77381,54383.05395,54436.53915,54307.11003,54315.84339,54316.16768,54195.42718,54401.049,54072.15804,54305.37249,54101.54935,54181.16459,53999.79601,54099.84184,54273.22959,54963.9736,53780.35708,54376.97887,54372.969,54521.53635,54428.39239,54183.30024,53833.01418,54460.13548,54236.61677,53687.74419,53825.73494,53671.4944,54296.48706,52004.85596,54104.79818,54012.94751,54171.13493,53702.49296,53663.80498,53048.73434,53045.73472,52891.61476,53455.46268,53657.80371,53326.35649,53848.57676,53015.1647,53177.36274,53733.05856,53692.9799,54257.88938,55012.56533,52624.44288,55105.93445,52687.16481,54079.0279433333
"27",56020.85714,56099.9101,56093.30183,56091.0943,56112.72053,56217.93123,56258.84195,56175.99822,56224.98441,56277.28243,56152.13842,56188.7527,56161.08785,55992.80675,55953.39128,55866.89413,55748.75126,56076.84774,55717.88782,56053.82583,56032.88519,55999.55495,56129.94849,55522.92401,55683.29789,55125.2419,54521.61771,55361.29451,55408.1025,55079.40563,54684.28176,57605.41983,57056.63535,57305.72251,56925.39066,57065.3698,55434.86115,57498.76426,56873.01334,56432.16198,57200.9548,56001.80253,57750.64228,56658.84101,57441.72149,56243.953,55796.47171,55446.53887,57077.15028,56375.80806,53410.80612,55819.22069,54557.6841,56134.93824
"28",56462.28571,56324.37384,56307.39379,56468.29141,56457.06124,56294.16593,56348.36013,56270.56011,56441.61826,56422.4443,56400.99736,56459.81119,56409.70877,56328.54625,56172.89429,56242.48312,56107.64916,56139.35492,56327.81252,56542.98305,55727.51589,56041.33461,56043.93867,56102.70929,56089.97815,55696.72046,55580.75599,56109.24277,56017.93871,55857.07591,55484.34604,53283.95056,55222.41282,54908.27711,54421.2852,55349.31422,54125.04447,54609.59556,54535.09798,55693.12085,53398.44278,55485.45164,54003.6228,54172.82749,54045.84171,54761.09599,56135.3631,56020.7997,55663.61754,56582.86873,53873.31218,56256.76856,55033.69477,55389.86693
"29",58699.57143,56586.23014,56613.43702,56687.51046,56652.1081,56767.16531,56801.64983,56689.15284,56856.62902,56847.50671,56854.65315,56834.93694,56865.20476,56841.95058,56710.93653,56727.25659,56452.42834,56496.27958,56525.96315,56475.6996,56756.29804,56473.78383,56640.65335,56640.18692,56728.63116,56623.66806,56580.18459,56637.72097,56467.13081,56458.79951,56542.04192,54856.53853,56389.70693,55978.69005,56276.54306,54951.31806,54834.71017,56780.89806,56951.16286,56838.03581,58802.11171,55886.75315,56733.85485,57872.57422,58040.20365,57229.31013,56550.32339,56462.24155,56788.44577,56594.68154,54549.21875,56433.15815,55495.46337,56498.3608833333
"30",58555.42857,59378.24207,59320.64996,59393.09877,59409.26223,59416.42143,59615.08576,59490.45844,59609.64435,59621.95542,59551.08538,59585.84544,59567.38448,59364.29692,59315.63457,59251.15105,59205.72422,59366.30501,59203.88757,59341.81121,59466.16661,59240.9242,59416.22686,59407.88584,59535.94452,59383.97186,59933.78487,59342.0794,59227.55451,59293.22629,59326.25161,55892.90599,60100.93013,59282.13706,60232.21432,56119.29948,57920.86995,61048.20188,60619.73617,60109.27907,60629.40161,58625.22376,60036.84044,60634.38045,60674.85779,60987.52682,59145.77142,58699.34764,60005.56258,59512.95632,55352.19773,57959.13316,57972.46109,59465.9095233333
"31",58826.28571,58701.62331,58710.24119,58909.87882,58882.36371,58743.32793,58688.334,58595.46091,58795.12801,58794.07388,58786.27667,58869.6382,58781.60852,58738.96803,58581.15167,58610.27735,58750.91977,58838.12289,58723.72774,58966.32635,58911.61295,58725.48206,58807.03554,58877.89938,58897.69035,58796.47703,59181.98821,58896.96794,58662.30213,58804.25981,58617.10717,58368.56616,59715.15047,59969.49947,59850.10236,59840.07547,59044.5886,60124.51355,59982.57882,59635.03125,59598.40236,59863.12356,59680.64463,60001.99451,59887.90085,60072.4407,58526.681,58555.44297,59438.95058,59018.42441,55747.12696,58730.14815,57466.78329,59105.7194266667
"32",57943.85714,58886.74813,58904.79579,58927.06001,58890.46676,59127.69128,59166.36093,59048.41561,59225.55354,59244.04897,59246.88808,59260.39999,59269.15114,59255.54704,59199.47828,59172.67887,58793.89973,58866.44136,58837.17085,58805.27062,59144.06145,58922.41992,59138.52434,59109.75339,59198.13442,59155.11486,59075.16859,59100.9936,58884.90405,58981.07482,59050.65727,59553.419,59434.86154,59531.58163,59860.14542,60016.41088,59763.13222,59897.8657,59723.37871,59648.18522,59584.03747,59968.4892,59542.01615,59646.84178,59654.85771,59942.90798,58880.30495,58826.25862,59331.97266,58841.16847,56421.3589,58756.68878,57753.29922,59276.82183
"33",57651.42857,57961.20963,57864.12336,57889.37325,57897.28711,57711.40921,57910.52965,57771.33597,57985.66983,58007.62101,58053.17085,58107.98426,58042.45697,58151.41739,58111.74401,58105.01846,57942.27399,57792.22615,57968.71476,57862.40131,57839.17426,57868.50707,57878.53585,57931.39157,58051.14576,57982.42459,58139.81558,58040.94364,57874.10127,58057.23463,58075.53841,56618.04869,57531.27234,57425.91422,57496.66357,57436.64317,58514.65513,57612.57947,57625.54214,57366.59034,57416.23684,58828.71913,57587.97822,57484.30042,57331.99539,57751.42062,57767.86727,57943.94541,57681.94584,58290.71659,56228.4688,58257.8017,56583.16073,57759.9277466667
