"","RMSE","MAE","Theil"
"X1",2138.22293989143,1064.75124782014,1.03292729300394
"X2",2139.31709390006,1052.2347527554,1.0340327812319
"X3",2213.75072908185,1093.24588015827,1.10734138686256
"X4",2096.08392176679,1077.9269593813,0.992751616305882
"X5",2096.76546322781,1071.62642270504,0.993362924101247
"X6",2178.29637309139,1224.15500632374,1.07191293212571
"X7",2145.47504814395,1141.61084311511,1.03987705909199
"X8",2203.11060349616,1292.68959171223,1.0963710163888
"X9",2227.90895279883,1275.78068108633,1.12116842292389
"X10",2237.34205627525,1336.2118298705,1.1307565232206
"X11",2229.49230103136,1257.98254490647,1.12266744333445
"X12",2242.16511471711,1326.67411510072,1.13568516521657
"X13",2181.47390692804,1272.88182097842,1.07513952079882
"X14",2215.95993879754,1346.59566658273,1.1093299913405
"X15",2302.19847553706,1437.10872889209,1.19749722460075
"X16",2080.62855895336,1070.27873285612,0.977761860637968
"X17",2223.11897121067,1117.93899229496,1.11659783592697
"X18",2126.8601902899,1133.33727278417,1.02175185355037
"X19",2175.07059190311,1092.64644735252,1.06891802313478
"X20",2284.60370683186,1231.47703005755,1.1791323237132
"X21",2301.61543579027,1336.34540517986,1.1959143501966
"X22",2288.56919139417,1329.19727867626,1.18319444406118
"X23",2348.43089171089,1447.00923680576,1.24585436281611
"X24",2374.99685598601,1547.53556960432,1.27439225340813
"X25",2431.59579816512,1616.70964269065,1.33580644670759
"X26",2348.06070858338,1499.25858425899,1.24519899163489
"X27",2456.95624307658,1600.68621931655,1.36368336359409
"X28",2552.64610711816,1804.95379405755,1.47233066710887
"X29",2692.23247547016,1902.69033069784,1.63766731075423
"X30",2754.53584260423,1981.8558716259,1.71442985308041
"X31",2414.67734324275,1479.86099065468,1.31649248743175
"X32",1807.99049320349,1016.8886791223,0.73774455158735
"X33",1877.72978669049,1055.22277576259,0.794918619352105
"X34",1902.30267156025,1098.84024602158,0.814978513148129
"X35",1942.32687579412,1092.90398822302,0.851175135776627
"X36",2554.81902053584,1967.74258227338,1.47130589042534
"X37",2228.87946983987,1535.10222308633,1.1209738915253
"X38",2214.70288631244,1552.52413945324,1.10559503189674
"X39",2321.29148157121,1573.75553556835,1.21634423570547
"X40",2400.39249472992,1770.3320067482,1.30086936197178
"X41",2165.33409154869,1419.44797634532,1.05614113534121
"X42",2800.34086744256,2212.18123981295,1.76886362809941
"X43",3231.63689468189,2593.56004584173,2.35789519595907
"X44",3657.76992207182,2886.7404622518,3.02180940679294
"X45",3170.47137261734,2582.59005132374,2.27124111042235
"ARIMA",2187.54860624892,1124.64386358993,1.08092206407851
"ETS",2104.37085293455,1122.82875038849,0.999979390010458
"SVR",1828.16335977722,973.506470258993,0.754972292535034
"ELM",2070.45638460908,1056.47992845324,0.968621924717457
"XGB",11281.0328859686,10028.4539468345,28.7521614805686
"MLP",2056.34680804017,1079.95854131655,0.955422032500503
"LSTM",2169.84208443349,1140.90060099281,1.06187480377149
"DESTC",1806.3850527458,1024.01959339568,0.736354200443466
