"","RMSE","MAE","Theil"
"X1",388.309766467734,204.651257542857,1.0901325079838
"X2",389.394875920428,206.314890342857,1.09625719797443
"X3",382.05757414836,203.032856854464,1.05520787381827
"X4",397.296665029956,217.288320200893,1.14152276201018
"X5",419.414431470754,229.308204207143,1.26972876016893
"X6",368.706663236859,205.964992996429,0.983201813594748
"X7",383.217533280025,206.143945541071,1.06121038869955
"X8",390.577829377965,209.281795165179,1.1026940449616
"X9",380.018750707778,212.391752255357,1.04379341067208
"X10",374.722049071068,209.583845116964,1.01476587395332
"X11",386.061667380209,216.110581580357,1.07732085648162
"X12",390.524449457319,209.607141308928,1.10254049276463
"X13",391.48659084463,222.069536302857,1.10749136521751
"X14",402.654311241113,229.948089828661,1.17202884693754
"X15",397.3974722454,227.403371046429,1.14142401658192
"X16",379.610930440652,203.63433663125,1.04170496882048
"X17",388.774559170751,209.990597398214,1.09267046916842
"X18",376.408499760959,211.334583376786,1.02409633166833
"X19",399.285823097058,227.15931600625,1.15250287102132
"X20",406.160856079136,231.539862314286,1.19176278885326
"X21",402.658483746162,223.529799502679,1.17143207004287
"X22",382.085995541064,212.964858428571,1.05534295806378
"X23",396.412728312985,218.417079666071,1.13606943619358
"X24",383.830027984802,220.828629653571,1.06466555707067
"X25",406.656314058545,230.697275039286,1.19524162684237
"X26",431.378161208802,266.173495265178,1.34480769939445
"X27",394.863102683287,218.904042976786,1.12690350952299
"X28",407.678498116326,238.067319723214,1.20140525195238
"X29",417.507724997411,242.157516943125,1.25965352980043
"X30",413.073715181419,255.310083245536,1.23292254250295
"X31",526.0027284564,335.244452062321,1.99998557097212
"X32",410.670364643084,238.93941644625,1.21985903412975
"X33",419.229604026303,242.91231030625,1.27138963375167
"X34",404.138268970677,241.99886083125,1.18133360094832
"X35",420.145835116784,244.541120091964,1.27666136558806
"X36",465.681470367952,297.100833691071,1.56947211632874
"X37",412.172875174295,240.25043075,1.22884186803994
"X38",406.616642614985,241.715572384821,1.19564597975726
"X39",417.234650805097,245.76816930625,1.25915327951504
"X40",448.620607585418,260.504853291071,1.45601976505745
"X41",437.957949895912,273.575589028571,1.38781853728303
"X42",437.355909531273,272.535752839286,1.38376580465608
"X43",423.97839107383,267.869219990179,1.30032677253066
"X44",461.337016044058,298.340183635714,1.53967114893715
"X45",464.140042509298,288.366446217857,1.55825542652679
"ARIMA",398.902990036154,220.825149843036,1.1504578652404
"ETS",372.313003188462,201.983893524107,1.00268151341453
"SVR",423.074925469086,237.651552839286,1.29373257070654
"ELM",606.906005993372,356.818955796696,2.66584107804266
"XGB",596.578885597487,531.4516949875,2.57379744436422
"MLP",485.50338103705,355.017221333928,1.70414110539756
"LSTM",432.405418633319,258.453162547321,1.3467661453826
"DESTC",377.282877850052,204.352828483036,1.02847595886847
