"","RMSE","MAE","Theil"
"X1",3847.72392299762,2409.3920565873,0.724072543155262
"X2",3828.6197222849,2398.05254134921,0.716817322983656
"X3",3899.23206318145,2515.4288352381,0.743528577769007
"X4",4144.94450606194,2806.46557611111,0.840003353525813
"X5",4154.67343369456,2695.78562468254,0.844098945578469
"X6",28823.1881743056,19292.8725961111,40.1248230882192
"X7",18214.9481866433,12488.1493370635,15.9893802125819
"X8",18482.3273295149,12536.3856959524,16.6666817276139
"X9",17338.2683558377,11940.4131896032,14.6404116851763
"X10",13123.6548718225,9322.01682071429,8.35406877522255
"X11",34124.9707571353,23134.1804737302,55.9872360928831
"X12",9921.05980218457,5985.95019095238,4.80482800476301
"X13",13830.0366927312,9688.44150531746,9.22753841713697
"X14",14460.5158678863,9977.5463165873,9.94731774090229
"X15",15604.1603765348,9949.37740650794,11.7609970570341
"X16",3877.64006357227,2532.22055730159,0.735219143429976
"X17",3863.99966187079,2513.13972960318,0.729811895123739
"X18",3994.4755876054,2736.05282587302,0.778492190502354
"X19",3791.59235039587,2550.53539,0.702631643181513
"X20",3887.14315024398,2529.67235738095,0.739016892439762
"X21",26278.1642687265,19008.1877600794,33.3733173408215
"X22",18213.3417140893,12864.2586042063,16.1305222527281
"X23",15064.726594459,10953.2060881746,10.74457484319
"X24",22078.2711781029,15391.7567275397,23.5612934477293
"X25",20152.1688660073,14777.1912002381,19.3740980186596
"X26",30333.6650986217,21473.4110959524,43.9785762020214
"X27",24356.6773208144,17466.7590961905,28.7940135632977
"X28",41496.958292653,27982.9430730159,83.9268532765562
"X29",22180.3872670065,15760.3066592937,23.8595281350136
"X30",13475.2860259943,8783.6685452381,8.76016010541842
"X31",4704.20906710732,3304.05727539683,1.08236797897699
"X32",3794.12553183348,2595.06531301587,0.703939387077778
"X33",3909.57085948569,2590.2163915873,0.746459456694769
"X34",4035.07234519906,2691.09541357143,0.795801570175405
"X35",3997.12599825017,2641.69797007937,0.780364878459978
"X36",40083.0946234272,27642.376337619,77.1630292680337
"X37",29946.5659999915,19058.8313299206,42.8254752901156
"X38",19274.4118843018,14192.299038254,17.951777095898
"X39",22079.1451354844,16614.6941835714,23.2478586386379
"X40",26973.3965504579,18625.0169335,34.5658419059768
"X41",42966.573456307,29567.7635866667,88.6375852956518
"X42",40964.5230336952,30070.2576047857,81.204626563744
"X43",21040.941295969,13663.4832837302,21.075380955217
"X44",29181.8227727596,19189.3285197619,39.5319519271222
"X45",56960.5796169724,40870.5628982063,156.143754342126
"ARIMA",3898.0883275028,2395.28490801587,0.743159157274486
"ETS",3879.88938733974,2461.47497293651,0.735771623332948
"SVR",4695.86346395817,2808.07995626984,1.07842124766309
"ELM",4070.41352151973,2446.57477571429,0.810072657588388
"XGB",6910.08931903116,5603.34653833333,2.29000805687944
"MLP",14250.7853138308,10175.3110877778,9.74587951064645
"LSTM",4987.93910630746,3242.50489515873,1.21502263751688
"DESTC",3655.58850230584,2222.91244630952,0.652842132852125
