"","RMSE","MAE","Theil"
"X1",2960.64702953063,1695.52481541985,0.915565409992753
"X2",2961.70741367248,1717.73008114504,0.910610579866706
"X3",3077.70145591887,1800.70333732824,0.995694596185408
"X4",3223.52702404776,1852.42959671756,1.00965388235714
"X5",3201.07667984227,1781.31610687023,1.07685170990646
"X6",39778.0810803939,31353.6691963359,174.502804097741
"X7",22482.5460252161,16889.5224858015,56.0566347308044
"X8",19499.3303251454,14936.3611221374,41.4655235124714
"X9",21176.2407903548,16204.494511374,49.3885244322463
"X10",20008.6165470535,15249.3849725954,43.5854756359152
"X11",53315.0541914003,43026.916220374,312.730070949123
"X12",38601.7683927338,30567.1998750382,164.197665944937
"X13",38224.0108646135,30063.7257852672,159.601693388189
"X14",41442.7115282119,32657.4675936641,189.023361337316
"X15",40025.8245086731,31442.7271103053,175.457073726773
"X16",2904.96699776006,1772.8064080916,0.917838211754565
"X17",2943.11631737163,1784.12303687023,0.925204115900746
"X18",3927.59011857777,2184.95659122137,1.674114272437
"X19",3099.11735429003,1817.34680274809,1.04278665394043
"X20",3034.05014861036,1795.48073900763,0.989338075048849
"X21",21801.1053541472,17630.118610916,51.8163707266793
"X22",25685.0342416435,20363.0476915267,71.0542229348152
"X23",24347.6740439575,19119.0571385496,64.3720297088737
"X24",26842.2972187194,21559.813189542,78.2792007814812
"X25",24968.6830597055,19569.7813989313,67.9761684126558
"X26",25194.5594706132,20691.7065980916,65.5046185021177
"X27",40288.0394521374,31825.729829458,176.893512411109
"X28",42812.0920529902,34028.8653976336,200.349697845093
"X29",43705.9194716205,35331.2819469313,207.806918104526
"X30",52074.4808925592,42740.541472584,297.420919533301
"X31",4385.66847382495,2581.9104551145,2.13454828187527
"X32",2687.64789141881,1779.9483619084,0.786670755829657
"X33",2612.17225500755,1702.42838687023,0.743609987715334
"X34",2732.22708423411,1760.5034429771,0.812773177412229
"X35",2417.05961393455,1553.52977541985,0.616919490647013
"X36",35919.2988024333,29262.1959880153,141.687062601996
"X37",33420.0465878044,24973.611210687,123.373859962014
"X38",26404.2235051778,21019.3903755725,75.5290173554495
"X39",27581.3013061882,21271.8308637405,82.0336740811233
"X40",21486.1949174523,14958.3071870229,50.8606170306044
"X41",48481.3209616592,39723.7272669847,259.511022704412
"X42",54661.3010383681,44597.6773039718,328.679124893706
"X43",50046.1301625395,41657.3853375344,274.323822269827
"X44",48370.6650909911,40468.9432186031,256.018746321432
"X45",48103.956956071,38140.2754435084,256.50478902065
"ARIMA",2814.42640171634,1975.22924793893,0.864314167534722
"ETS",2736.72972750083,1515.02498832061,0.796587747837206
"SVR",2883.00132033612,1759.15932633588,0.905810395861575
"ELM",2851.94301428583,1720.95462694656,0.89058714839317
"XGB",4925.43130819396,3888.09708954199,2.68232332263106
"MLP",17328.5361677416,13405.1548051908,32.5983699445614
"LSTM",6802.79315900812,5204.81876328244,4.99016608251187
"DESTC",2426.5723889796,1554.68281577608,0.626770979624099
