"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"11",58982.71429,55988.31281,55986.51371,55881.62997,56238.40568,57284.41199,47733.97378,49979.78085,50568.83383,46635.91449,49299.17541,43768.21797,50988.26558,47821.88153,48496.32641,46452.91502,55764.51286,56043.79122,55862.0683,55957.29732,57766.93577,45593.28747,49785.73758,48645.89981,48499.18263,49798.36888,43606.55465,42923.49977,44854.17982,37014.06155,38236.60477,56706.95982,56902.14571,56360.62022,56090.62597,57295.63508,42897.07713,50730.65524,50290.63845,49323.22226,46953.83768,39172.92492,36089.16486,44423.67557,40012.47821,40490.72303,56852.33373,58944.17146,56800.82045,56580.03118,53558.32342,51535.44164,52475.2415,55957.29732
"12",59910.57143,60852.65222,60966.17717,60835.07689,61530.92587,61008.3044,52539.75063,56998.43654,59131.3004,57348.51598,58721.74624,50427.13522,56286.15389,58538.10935,56669.49435,57419.60418,61438.85627,61381.3781,61454.84405,61391.23204,62311.22474,55526.11869,56924.71725,53859.32627,52202.8366,54191.85729,33771.53513,49376.12792,51612.06647,49986.6829,40143.70485,63029.09811,60375.00984,60539.57185,60351.17889,60807.34125,49386.48474,51346.51406,51963.56179,49807.14883,49820.46157,37529.82992,42695.34704,44206.0975,42786.71347,46248.3914,60408.01595,60491.27541,58975.78697,56936.13958,57508.69102,54746.5987,56743.66294,60449.64568
"13",60567,61024.98182,61529.23539,61116.13909,61447.65939,60920.01452,53977.40266,58477.55155,60214.74027,63188.51552,62663.93082,54872.42316,55158.07711,53251.65129,58213.99748,55370.44453,59033.83443,59435.70743,59463.44073,59088.79069,62030.39513,51716.92985,52813.36111,50987.21804,50171.09693,51066.26489,54861.01736,48199.0482,47698.04052,42825.22721,43599.01349,57171.2641,59532.43196,59642.62153,59625.24642,64182.87801,46715.6812,53184.45595,49097.4228,47397.05706,49288.8972,46812.44902,39668.07192,46031.87042,45286.98855,39983.46613,60440.7394,60926.29437,59207.73379,58538.5045,59940.96703,58318.65763,56408.04901,59061.31256
"14",61523.28571,61384.90425,61320.17373,61377.30201,61409.9382,61245.31327,52864.63261,57919.70982,60215.49485,61582.36385,61436.00276,53527.76969,56310.12158,54030.47548,57633.19947,54681.64069,62352.60197,62351.81145,62841.72012,62943.17905,61939.65827,55992.9931,57554.39049,58537.56135,57429.45893,54928.36521,46635.72216,50659.86635,50221.32819,45473.86348,50372.5026,56166.16341,61369.57246,61137.88507,60833.64634,58803.2259,47709.72752,55096.06018,55625.9618,53171.85242,55558.12028,45857.55461,42839.23287,49928.10482,50451.65247,51413.02688,61272.13334,61268.50411,62126.44145,66559.1039,60278.35092,57604.96497,57403.82517,61270.318725
"15",61903,62377.17824,62315.6056,62345.04973,62338.32637,62268.7966,52852.10847,58133.027,60490.00612,61536.64851,61568.77347,53645.47964,56384.21257,53494.67276,57214.81817,53873.903,62312.02383,62444.42066,62806.53195,62921.59921,62916.36291,57506.00932,66667.11605,63820.48669,64090.64111,64229.23241,54494.65309,56074.58275,58172.6609,47120.69539,57500.13798,72893.84414,65432.57847,65563.31145,66255.29662,66311.26401,50590.93703,58431.72052,56933.2615,57163.7276,55159.03402,46276.03122,44205.04472,47021.41862,49835.83654,47460.73033,62329.90356,62331.29939,64098.94677,58958.17434,60942.48507,58083.71463,58256.84189,62330.601475
"16",60187.42857,62277.87521,62209.22341,62230.32556,62246.78223,62219.10732,52698.5953,58084.85059,60444.82834,61318.43282,61346.40833,53033.187,56465.14001,53744.07556,57347.25581,53905.075,62395.5588,62341.63795,62437.45296,62335.1073,62445.96166,56546.70572,63891.2436,61416.38022,62120.40399,61333.01665,50860.47043,53683.07307,55700.21222,46411.5655,53746.02984,57545.29271,59142.38683,58979.908,59474.72776,62186.15559,52855.93782,55819.87489,54547.04475,55941.81215,55977.62229,41693.78824,53980.00743,47853.52448,47893.17195,47416.02136,62332.81504,62368.60311,62553.98825,63035.84741,61431.3945,58223.90974,58111.21849,62333.96117
"17",59335.85714,59317.40604,59284.08421,59220.07196,59428.52412,59357.44653,51221.29503,56421.29003,58276.27102,59999.20526,59359.36288,51645.14038,54093.56402,52357.01215,56067.0244,52241.23,59370.39273,59401.83897,59558.85,59295.4835,59608.43176,54260.27882,61810.40133,59270.77088,60252.85033,59408.0513,49563.13646,50509.83152,54545.71629,44498.10619,52042.41756,63255.51113,59527.57945,59599.30048,59848.06752,57739.80272,52136.1174,56457.34611,54040.81467,57628.97212,55854.68334,42866.04125,54505.57204,49607.65991,44608.13848,42371.07597,59292.60194,59254.54001,60016.16731,60497.87376,61054.9812,56938.22468,55063.08467,59295.4835
"18",57286,58975.48788,58947.19364,58939.28352,58976.01891,59053.33557,49766.22368,54831.68936,56028.43623,57454.63647,57059.29465,51416.65078,51841.56135,49137.95299,52308.25366,48250.81442,59040.81081,59089.12944,59164.33494,58967.04897,58976.15819,52620.64622,58842.75369,57611.38086,58353.4725,56900.40377,48771.28315,48568.96638,51335.79666,40805.44082,48346.42092,57710.73237,59146.08268,59119.98378,59647.22189,59310.90575,45227.49608,55185.43313,59044.24148,60471.14459,59584.5512,39730.72186,52838.2772,45627.49358,44466.63425,46115.01369,59017.26839,58548.8185,58639.39539,58883.32323,59948.65306,55505.80128,54920.31826,58594.106945
"19",54855.85714,55591.80621,55599.00017,55679.77891,55541.48225,55626.60737,48210.46969,51959.42423,52410.83474,53363.17001,53070.43781,48751.22038,48979.99432,47016.56384,49743.38604,45674.95974,55718.70583,55771.43387,55950.96426,55633.9662,56038.81147,49072.8896,54657.56948,54311.13171,54920.22786,53915.52533,46148.38697,45723.63,48914.97695,39208.24074,45298.78661,56140.11081,55860.19036,55875.90337,56735.25403,55900.1077,44335.97704,53462.4457,54860.62567,57099.47972,55261.18277,39446.3775,48540.96693,44707.25625,42751.26895,43092.69254,55838.41811,55815.91064,56260.16785,57137.32606,57986.7787,53218.06163,51754.30879,55767.308235
"20",52676.28571,53079.78044,53151.12337,53285.52524,53097.46075,52995.51236,46458.75139,49802.4,49300.66057,50076.66807,50018.49402,46642.35271,46721.74031,45504.26147,46762.76287,43590.05006,53374.73371,53439.92055,53622.65745,53477.59247,53274.49536,46747.66849,50805.40309,50807.12227,51414.47504,50477.32232,42895.3313,43568.95309,45984.95928,38403.31762,40980.3016,54428.12067,53343.8299,53359.11539,54349.66362,54280.22639,42426.35985,50690.03386,51838.63571,53539.19217,51575.75899,37248.83179,45838.69727,41345.84956,38603.69592,41423.90933,53241.13454,52980.19039,53349.62893,53853.76056,55887.21085,50560.89787,49462.4439,53295.381735
