"","RMSE","MAE","Theil"
"X1",1724.3260813572,1066.47779641221,0.521106484244977
"X2",1718.4357285704,1069.5770778626,0.517453828225886
"X3",1741.44236854214,1111.75426244275,0.530857689965994
"X4",1815.0906076233,1206.63159580153,0.580702041432172
"X5",1763.89575514214,1062.49725312977,0.5541965003637
"X6",14036.3438815587,7739.7948340458,35.1702697908324
"X7",8128.81993643191,4583.33632664122,11.7427933428287
"X8",6717.87816880025,3937.29547198473,7.9989783743034
"X9",5554.00670929219,3236.32128412214,5.32493486468397
"X10",5490.44260410887,3163.18961977099,5.27934274753355
"X11",17632.6393245502,9387.0723089313,55.4576486080794
"X12",13002.0814534919,7332.89657343511,30.2393704415448
"X13",15613.1483699451,8724.46207396947,43.559785641138
"X14",13065.3509884862,7291.34081351145,30.4721711970691
"X15",16955.3018866949,9437.13939015267,51.3569144419272
"X16",1780.66954478626,1178.7941521374,0.554629394363805
"X17",1785.08322010493,1175.23630030534,0.559807429632492
"X18",1824.84184789037,1176.07551549618,0.584046795852269
"X19",1759.45894545665,1180.2809878626,0.542807504266457
"X20",1844.04144409812,1193.44279748092,0.607995020944225
"X21",11570.1937195323,7127.03760885496,23.7695417605264
"X22",6703.77644727809,3618.18733679389,7.94613979360355
"X23",6689.57711962196,3984.37068480916,7.88153349550995
"X24",6973.54810019697,4358.86461725191,8.57337744824685
"X25",7440.64288138522,4483.87225305344,9.81617534090232
"X26",15182.5599971689,9183.28996503817,41.0278196613356
"X27",17387.2211141206,9832.14382977099,53.8796892580793
"X28",17441.2479893017,10010.0782498473,54.2970583380087
"X29",26242.4686777236,15633.9934349618,122.880205669387
"X30",20950.392638157,12607.9714187023,78.1489839781378
"X31",2544.78648844256,1838.32856274809,1.15463675943255
"X32",1819.15313773856,1245.56660389313,0.587736078841981
"X33",1761.59581422534,1176.70505854962,0.547276435000075
"X34",1850.71414990194,1265.9735140458,0.602987966763225
"X35",1969.65502618056,1393.92507435114,0.692059438094804
"X36",17009.389262851,10629.4805419084,51.5471286226379
"X37",9200.09285761873,5616.35915290076,15.0907606557471
"X38",9513.63067003379,6207.94463183206,16.1331238673367
"X39",10417.290930949,6801.12066832061,19.3397951382266
"X40",8965.58818101424,6015.06940748092,14.2216710935093
"X41",23798.5141074966,14003.7295555725,101.064502700822
"X42",19181.7069826619,12281.7661648092,65.2872445159307
"X43",23779.7902792936,15042.5921378626,101.151817195194
"X44",25075.2662415519,15860.0599999237,112.303070568612
"X45",24058.0835983623,14921.5127645038,103.362044648925
"ARIMA",1725.32093317032,1060.04999816794,0.527785735184587
"ETS",1686.9481727778,935.311321145038,0.510509547811342
"SVR",1558.40361949647,1079.06927641221,0.429155117383107
"ELM",2202.93395558405,1563.64023496183,0.862667359152975
"XGB",3185.49430103102,2623.42450419847,1.78006041889798
"MLP",5546.87425531366,3678.06352770992,5.4435380106849
"LSTM",3948.86372646021,3213.48132793893,2.73935712704695
"DESTC",1621.4859843217,1071.25015068702,0.459125090035583
