"","RMSE","MAE","Theil"
"X1",1371.69546843867,723.266591892857,1.1595411279159
"X2",1490.60652075459,775.000472866072,1.36930596800371
"X3",1349.79531798858,696.037910321429,1.12281873522886
"X4",1464.26346634922,791.400533285714,1.32130305791051
"X5",1557.68229481419,810.590513178571,1.49531793188596
"X6",1618.21288407149,839.546446561607,1.61380114416282
"X7",1532.99522880902,813.4173925375,1.44830643670228
"X8",1470.79081801272,797.285016258928,1.33315193391942
"X9",1523.65110579342,807.283834852679,1.43070254344905
"X10",1571.49205086086,812.469494732143,1.52195983729075
"X11",1409.77619985177,751.332863375,1.22484161576101
"X12",1425.27735765807,777.2158054375,1.251922001407
"X13",1495.65692576078,799.645284830357,1.37860748525117
"X14",1643.62467415157,835.191976223214,1.66488254185168
"X15",1552.37816629406,842.8761510625,1.48516078264211
"X16",1394.9362560223,778.908339455357,1.19911309117143
"X17",1360.26955547762,731.937509651786,1.14031620120085
"X18",1941.73863832999,960.334965901786,2.32358521750325
"X19",1544.11386467649,874.2334924375,1.46939389056345
"X20",1692.6695236825,944.520841642857,1.76571817527856
"X21",1497.95814767868,871.678110378571,1.38278429988631
"X22",1795.58579835444,931.044192882143,1.98690656020825
"X23",1616.63876826338,875.371912351786,1.61063430042228
"X24",1723.33093955206,902.188256996429,1.83025691639153
"X25",1798.38917379557,962.563227575,1.99315948997326
"X26",1554.78816416041,905.360219401786,1.48965874340051
"X27",1629.23062003521,879.674303734821,1.6358193423629
"X28",2467.39451856686,1183.41524523214,3.75193531610481
"X29",1893.52272086651,1028.27104252054,2.2096268337846
"X30",2073.67598532886,1109.43482748304,2.65008974101259
"X31",2211.77462267265,1252.37127864196,3.01473296808851
"X32",1591.5796052534,925.932001357143,1.56112005504948
"X33",1993.88564827536,1106.7159695,2.45002315132988
"X34",1705.85505057131,948.4375578125,1.79283700872522
"X35",3496.29380421149,1393.22275026786,7.53346224019843
"X36",1866.38693085544,1106.73151291071,2.14638964839283
"X37",1708.22079656262,996.5979646875,1.79823752323375
"X38",2080.04395304443,1132.73947888482,2.66628668093306
"X39",1781.67172812498,1035.00244860714,1.95611088898134
"X40",1931.61108193149,1110.76966832768,2.29938382350238
"X41",1877.30440444274,1029.58953433929,2.1711902366178
"X42",1756.35289073364,970.183404780357,1.90107470722588
"X43",1720.77002248309,980.7113093125,1.82482877574232
"X44",2503.0370674757,1244.83024622321,3.86082707579889
"X45",2412.91251144492,1199.88566040089,3.5880091915745
"ARIMA",1984.04088924977,1154.37075911607,2.42591757805789
"ETS",1498.71334138601,775.421718071429,1.38425510927521
"SVR",1443.91189756326,769.063074741071,1.28481293576571
"ELM",1889.37655095038,1040.62129846429,2.19883168036883
"XGB",2321.23020490705,1935.76903984821,3.31325879099852
"MLP",1608.08912764564,989.656574920536,1.59261793817508
"LSTM",1264.10918611831,696.690333526786,0.984734662693468
"DESTC",1449.51194203592,811.865653486607,1.29485928144611
