"","RMSE","MAE","Theil"
"X1",441.543449997336,263.975987111111,0.102682766686366
"X2",437.246485863382,257.39956986508,0.100260831262193
"X3",520.782134312944,282.621188722222,0.142949657885031
"X4",414.554207831463,254.356440722222,0.090266473872652
"X5",508.30185287916,292.624780492064,0.13058102034321
"X6",1735.36769801973,618.550779611111,1.23013761729313
"X7",877.874940732226,387.108948888889,0.291645261509267
"X8",1292.2743331358,467.657384531746,0.619947083942852
"X9",790.09504059125,323.587349063492,0.213232682471559
"X10",800.734267999566,322.262140857143,0.209968604742241
"X11",1456.87686203988,509.272405515872,0.786484231180532
"X12",1982.90152148358,640.775139920635,1.48746521000429
"X13",1393.40248590553,489.014901785714,0.69571165406762
"X14",876.319012216952,388.222082571428,0.304362971175475
"X15",1621.45732931453,663.627143428572,1.36295692331231
"X16",440.679340465122,267.23808568254,0.103030137230637
"X17",402.129484027686,234.391665730159,0.086143970353801
"X18",369.932364030981,240.870605722222,0.0703986725181516
"X19",474.0569317863,270.713422396825,0.120242536547097
"X20",553.150034441045,314.229457730159,0.162631976158036
"X21",1437.05371554601,591.976167666666,0.903817919369615
"X22",1409.97296388914,530.442346460317,0.797281242796669
"X23",1045.01082144436,469.213898468254,0.417296593713733
"X24",1091.82945229254,428.320354849206,0.394750013055526
"X25",957.997418642488,390.962367230159,0.328755511713368
"X26",1711.96490104921,610.453420055556,1.14235716211939
"X27",693.14369403298,362.838943587302,0.221468891904663
"X28",846.100368456941,427.212326507936,0.326604948375281
"X29",4505.20031685871,1568.25927148413,9.86331295021147
"X30",6075.18680688127,2000.69079660317,17.7288992071611
"X31",733.360137498279,471.927360531746,0.283625955619035
"X32",549.032644718783,309.846827452381,0.158173175308045
"X33",459.367890617459,271.711784619048,0.107265194419552
"X34",802.779310053082,435.416610198413,0.333772645684681
"X35",611.23078206094,313.1451305,0.199723903108793
"X36",2801.57843428232,986.954051531746,3.17629112444522
"X37",652.107572388124,336.614062611111,0.168836934578776
"X38",1488.72642743566,682.978055785714,1.08968079292546
"X39",1431.5525414188,698.384016071428,1.0108363227673
"X40",1057.8702587919,525.598823039682,0.582137422488637
"X41",3775.1317931721,1274.1771085,6.17752345979013
"X42",2035.21896358018,812.132134896826,2.0490213018261
"X43",5013.58660543052,1608.21103249206,11.4635960658307
"X44",2468.38147241098,961.484682452381,2.76330977631926
"X45",2343.45845419286,1026.21857283333,2.85772404864019
"ARIMA",451.655532123842,265.13253252381,0.107275734002623
"ETS",419.918056976353,243.72277534127,0.0926113816507396
"SVR",372.791527033615,227.659202785714,0.0737921108708579
"ELM",320.535404239719,228.003720722222,0.0547261037689462
"XGB",5177.96411404092,4926.40148193651,14.2773099869956
"MLP",3069.00402108544,2340.83585846825,4.87113010428507
"LSTM",2629.4725176789,2504.54950074603,3.55696705564814
"DESTC",369.802192247248,226.970500968254,0.0726042071175847
