"","Target","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","ARIMA","ETS","SVR","ELM","XGB","MLP","LSTM","DESTC"
"11",102625.7143,103350.7843,103342.7385,103379.3953,103331.1705,103001.2246,102726.2863,103526.0868,103573.184,103561.6698,103627.075,103416.0698,103245.5278,103388.3017,103639.2302,104069.6524,103376.6484,103214.7975,103043.7292,103077.4303,103165.772,103713.3136,103415.5831,103680.1413,103723.0461,103778.8741,103512.237,103326.6407,103469.9243,103306.0856,103445.0096,98939.09614,100989.1755,100649.7488,100806.4483,100771.9549,102610.5575,100715.3638,101340.0624,101504.7792,101146.2936,99139.95275,100392.8483,101407.4394,101009.827,101650.4097,103362.4077,103751.0622,103215.0116,103300.9218,116572.8395,104622.6999,102808.4245,100392.8483
"12",100583.2857,101889.1751,101737.3467,101648.8651,101477.2726,101405.9128,101213.3035,101765.8248,101932.2401,101852.4249,101803.6507,101675.5876,101500.1864,102264.2049,102112.7606,102697.8813,101855.6887,101684.8703,101462.974,101788.2446,101747.5342,101413.8951,101480.9302,101644.0508,101710.7782,101759.7985,101132.0017,101280.8991,101877.0743,101660.2306,102016.7961,103006.33,103198.91,102605.6841,103497.9842,103771.6324,101085.4887,102906.9258,103453.0459,103722.4826,104219.5461,99587.26253,103606.9785,104372.8042,104064.3112,103293.1663,101923.0928,102277.3749,101707.8578,101364.9019,115653.6714,103367.6729,101377.6089,103006.33
"13",100385.5714,99324.51784,99293.70515,99295.65265,99038.5353,98839.34626,98614.14834,99214.59504,99286.09329,99248.54146,99311.34686,99014.5749,98950.28941,99290.78429,99319.44554,99753.52968,99382.87918,99100.93382,98933.51681,99140.89905,99123.98372,99354.21639,99205.16362,99493.75702,99303.89078,99566.16243,99543.03345,99042.8363,99361.87057,99343.31367,99389.2079,98633.75823,99368.72993,99865.62738,99364.92815,98783.16316,98026.15209,99856.93927,99652.24937,99881.75045,100411.104,98105.32978,101224.4202,100080.676,98720.10405,98451.34915,99405.80248,99814.37003,99285.13644,99026.11804,114511.4362,100595.7149,99124.5253,99124.5253
"14",99186.85714,99762.5634,99760.48174,99660.38857,99821.39559,99681.93612,99168.62988,99823.42617,99821.34816,99740.10666,99708.04174,99646.18103,99501.2775,99779.03347,99891.68239,100327.557,99725.27278,99721.55787,99388.76288,99770.23911,99609.60219,99659.9074,99541.75888,99571.68904,99649.28808,99660.99866,99490.65097,99050.57201,99511.35143,99210.71578,99560.45183,100489.6021,100107.634,99997.68767,99962.33818,100672.3017,98705.71886,99713.32063,100363.2467,100065.9957,99718.37759,96514.52595,99818.78225,100403.4004,99349.70566,99338.15216,99777.85015,99798.52673,99370.498,99104.09996,113640.7491,98220.54239,98981.49952,99590.645615
"15",96036.57143,98299.19797,98329.2025,98233.53835,98078.04893,98133.84885,97608.55352,98058.08743,98067.38886,97995.28768,98008.55037,97884.62824,97802.75704,98358.83577,98203.6695,98736.85431,98308.88124,98314.51306,98005.59339,98637.63205,98577.76701,97938.8259,97893.54261,98019.76823,97853.06856,98102.60443,97853.39387,97854.74327,98215.57221,97918.90765,98143.67352,96603.42598,97402.38305,97733.98286,97205.01068,97210.61528,96955.79732,97622.88089,97701.81638,97578.62921,98002.08481,95897.3366,97805.09612,98078.85908,96893.89797,96861.81405,98408.85057,98469.0048,98035.45119,97562.82654,112614.0823,96885.17649,97708.00237,98012.68081
"16",95771.71429,94316.08606,94269.3474,94340.52443,93880.77957,93592.92447,93580.87227,94164.93161,94279.97793,94270.93073,94385.29857,93917.83847,93941.2776,94202.49996,94239.7069,94646.08266,94311.8026,94127.47282,93819.88019,94312.24618,94376.75281,94071.14733,93881.43771,94331.08373,94207.2107,94097.40522,94082.55738,93838.75916,93995.18888,93954.36465,94030.25024,97026.98675,94935.36057,94726.06396,94503.62063,94669.74284,94067.46222,94109.0079,94304.48606,94901.26492,94622.69942,92587.26688,94587.27986,94303.89067,93667.0777,93767.53668,94356.45329,94724.82512,94350.0594,94269.31915,111252.0029,94984.89721,94432.02039,94340.571565
"17",95314,94971.84602,94904.17106,94797.22455,95040.49465,94804.49066,94391.66259,95109.10927,95141.34867,95042.51699,94974.23328,94954.44592,94755.52299,94969.51467,95154.64152,95596.62207,94932.37967,94856.60237,94480.5186,95077.04233,94990.8004,94953.70482,94726.23893,94795.33325,95090.68754,95000.81625,94584.43835,94559.34422,94933.65037,94428.16075,94886.5387,93022.39569,95087.22717,95001.46799,94783.81141,95168.75183,92483.88102,94729.71697,95271.74723,95058.08187,94871.33998,91547.42255,95169.14788,95693.21873,94287.4828,94115.5801,94911.88012,94788.93326,94499.37151,94337.15407,110110.4619,92845.63422,94260.55805,94641.59146
"18",89726.28571,94603.67117,94677.6983,94500.25455,94529.59781,94715.34527,93951.72849,94324.58651,94276.74369,94179.10031,94131.06978,94165.34825,94058.14386,94652.79805,94407.92128,94994.70175,94635.14933,94686.68538,94441.59975,95075.1891,95133.77416,94243.13185,94243.75235,94231.54189,94029.72418,94481.78161,94259.41136,94234.83311,94712.69355,94329.41078,94578.1246,93898.89533,94580.18339,94850.84768,94870.67831,94431.34142,93216.72767,94816.97173,94619.88928,94316.97052,95058.93939,92861.23111,94999.50311,95108.78949,93945.4403,93801.62824,94737.55066,94511.18489,94204.67275,93505.06331,108986.3993,91367.50286,93793.7595,94336.57082
"19",96652.28571,87007.75686,86925.25034,87092.84963,86142.83363,85823.11814,86284.97746,86662.35061,86881.63627,86923.39254,87111.42588,86242.39152,86578.62586,86839.39674,86709.39439,87051.56281,87012.12852,86703.89985,86458.9336,86687.45015,86647.67673,86468.66372,86348.82469,87106.24644,86715.06928,86499.34614,86911.70227,86345.14602,86539.39316,86786.49305,86604.00522,91986.58531,87542.77772,87581.65373,87203.25106,86520.21418,87056.55495,86303.36859,86168.50441,86919.93049,86497.3822,86107.60927,87284.68976,85771.88556,85419.82354,85508.65533,87103.81318,87727.69616,87384.65582,87257.83479,106976.6875,89237.23941,87817.40674,87081.400695
"20",95369.85714,98610.68447,98886.9979,98561.43858,100532.0996,100600.4516,98366.70918,99302.03177,98872.42423,98788.43547,98506.35506,99064.74912,98789.85555,98137.48445,98741.28452,99260.60423,98532.52295,99114.8034,98705.33615,98935.31698,98704.34011,99521.29716,98902.14506,98315.00004,99355.7339,99438.55968,99053.14434,98421.31041,99296.80984,97599.05181,98434.88175,92201.51058,98534.42596,98205.80739,98923.96389,100588.5685,94977.48225,98750.90255,100094.2939,98986.17445,98434.87989,93029.52544,97677.28252,100455.356,98255.95535,98666.43482,98417.82357,97042.43963,97137.70054,97171.66595,107819.9545,88560.45155,95886.56205,98285.477695
