"","RMSE","MAE","Theil"
"X1",6471.38152895321,2755.42878438849,1.45741025136546
"X2",5937.13814664543,2748.46760388489,1.22669266982644
"X3",6680.56807900221,2891.82164172662,1.55315233560078
"X4",5587.50529701054,2866.96572597122,1.08645845013801
"X5",6216.81157206096,2955.56668647482,1.3450890696625
"X6",6138.09930656608,2798.62065791367,1.31127571011834
"X7",5986.54862166394,2703.39074381295,1.24712326945513
"X8",5923.43454051727,2665.6900205036,1.22093987000003
"X9",6010.00102032417,2676.57535201439,1.25689889179314
"X10",5914.75946309069,2657.2500505036,1.2173393156434
"X11",5856.33993788283,2641.03077482014,1.1935007049775
"X12",5969.69373992685,2668.25301395683,1.24021635575889
"X13",6124.74871126592,2724.19280589928,1.30543467767131
"X14",6049.43689567524,2718.76182309352,1.27341284634502
"X15",6231.01310383451,2833.46598568345,1.35075488710955
"X16",6488.85055723412,2775.20963733813,1.46528037234245
"X17",5951.47382190534,2737.37045611511,1.23266617196446
"X18",5546.79844317547,2690.36915755396,1.07076473430903
"X19",6301.5379264728,3032.46421395683,1.38198741451415
"X20",6000.23257305846,2772.60579805755,1.25296197397974
"X21",6047.16588134584,2774.7942,1.27241775619162
"X22",5996.3676651738,2748.00051359712,1.25126508188507
"X23",5857.47971883728,2646.81471453237,1.19384340019166
"X24",6179.66985750833,2735.36955489209,1.32879826760469
"X25",6259.68694829395,2793.86164100719,1.36340918849406
"X26",6017.4185431198,2773.17250395683,1.26002642621476
"X27",6251.46540526747,2729.73170057554,1.36003917719868
"X28",6327.26824437706,2844.98497410072,1.3931693244332
"X29",5714.27925391649,2668.03163014389,1.1363331052301
"X30",6028.53297669273,2699.49737352518,1.26471481347526
"X31",4958.14304517668,3216.70929410072,0.852185842764595
"X32",5468.05397250091,2626.58387726619,1.03995047884624
"X33",5799.11245433158,2735.13521338129,1.1694649110446
"X34",5177.64779733322,2654.97058776978,0.932193629108068
"X35",5330.95558495002,2845.6576205036,0.988232641616566
"X36",5737.48615262401,3021.68107834532,1.14569841762109
"X37",5430.74862758087,2823.58232143885,1.02555664178381
"X38",5165.07555740306,2692.82640568345,0.928082894011727
"X39",5360.71859478231,2642.16430266187,0.999853617435015
"X40",5460.50521220519,2749.7481628777,1.03720184775095
"X41",5930.64672394346,3320.03800741007,1.22109781544287
"X42",5229.49031516754,2739.22422057554,0.950551777903663
"X43",5490.81137312451,2753.42064705036,1.04892936879826
"X44",5408.07710669177,2725.61022532374,1.01726419293546
"X45",5183.17488105054,2616.22634604316,0.934777215882137
"ARIMA",6456.58820045426,2781.0172494964,1.45074984464299
"ETS",5934.1299420863,2554.1058305036,1.2252614208275
"SVR",6021.18198763594,2585.85732417266,1.26171310225357
"ELM",6043.76600252453,2671.75635208633,1.27116907398591
"XGB",17433.047927726,16055.722493813,10.5285663366231
"MLP",5908.46885341245,4283.67261510791,1.21400330673892
"LSTM",5547.76420812485,2422.86571431655,1.07117304138651
"DESTC",5012.929073184,2414.33412938849,0.873353018297495
